Sample	Tray	Position
Agl-0	Tray_12	Pos_35
Agl-0	Tray_2	Pos_3
Agl-0	Tray_22	Pos_9
Agl-0	Tray_33	Pos_21
Agl-1	Tray_14	Pos_53
Agl-1	Tray_19	Pos_28
Agl-1	Tray_31	Pos_39
Agl-1	Tray_7	Pos_2
Agl-2	Tray_17	Pos_52
Agl-2	Tray_23	Pos_9
Agl-2	Tray_36	Pos_31
Agl-2	Tray_7	Pos_4
Agl-3	Tray_11	Pos_8
Agl-3	Tray_19	Pos_12
Agl-3	Tray_30	Pos_51
Agl-3	Tray_5	Pos_4
Agl-5	Tray_16	Pos_21
Agl-5	Tray_24	Pos_40
Agl-5	Tray_3	Pos_9
Agl-5	Tray_32	Pos_29
Agl-9	Tray_13	Pos_13
Agl-9	Tray_23	Pos_45
Agl-9	Tray_35	Pos_28
Agl-9	Tray_9	Pos_2
Ait-14	Tray_18	Pos_25
Ait-14	Tray_25	Pos_22
Ait-14	Tray_30	Pos_27
Ait-14	Tray_5	Pos_52
Ait-9	Tray_12	Pos_39
Ait-9	Tray_26	Pos_20
Ait-9	Tray_32	Pos_45
Ait-9	Tray_8	Pos_8
Arb-0	Tray_14	Pos_21
Arb-0	Tray_21	Pos_34
Arb-0	Tray_32	Pos_28
Arb-0	Tray_9	Pos_24
Arb-2	Tray_13	Pos_37
Arb-2	Tray_22	Pos_21
Arb-2	Tray_32	Pos_52
Arb-2	Tray_7	Pos_13
Azr-0	Tray_16	Pos_18
Azr-0	Tray_2	Pos_47
Azr-0	Tray_27	Pos_53
Azr-0	Tray_34	Pos_24
Azr-11	Tray_14	Pos_40
Azr-11	Tray_19	Pos_5
Azr-11	Tray_3	Pos_1
Azr-11	Tray_36	Pos_34
Azr-13	Tray_10	Pos_16
Azr-13	Tray_24	Pos_45
Azr-13	Tray_35	Pos_23
Azr-13	Tray_7	Pos_49
Azr-16	Tray_12	Pos_51
Azr-16	Tray_24	Pos_15
Azr-16	Tray_33	Pos_27
Azr-16	Tray_9	Pos_21
Azr-5	Tray_16	Pos_35
Azr-5	Tray_22	Pos_35
Azr-5	Tray_36	Pos_41
Azr-5	Tray_4	Pos_25
