Sample	Population	Red	Green	Area (cm2)	Greenness
Agl-0	Morocco	133.2661	152.74955	1.630690987	1.150937532
Agl-1	Morocco	131.40095	147.6161	0.926989095	1.120930775
Agl-2	Morocco	148.1256	164.7022	1.612010367	1.114514774
Agl-3	Morocco	145.50025	164.2566	1.639884591	1.118582891
Agl-5	Morocco	139.43695	159.453	1.775734755	1.149537334
Agl-9	Morocco	120.9024	143.5853	1.78884053	1.187613315
Ait-14	Morocco	144.4185	160.40965	1.706587119	1.12412685
Ait-9	Morocco	152.84205	164.63455	1.026945083	1.076533273
Arb-0	Morocco	152.1839	167.6388	1.466868796	1.092988587
Arb-2	Morocco	140.72035	161.72675	1.857107927	1.145119448
Azr-0	Morocco	132.3862	154.52535	2.272678371	1.162832255
Azr-11	Morocco	154.016	168.5887	0.748202846	1.094618092
Azr-13	Morocco	153.8999	172.4922	2.024255465	1.127323288
Azr-16	Morocco	144.98045	166.2695	2.373416793	1.14680267
Azr-5	Morocco	150.42535	166.51295	1.6628686	1.12475178
Azr-7	Morocco	138.3604	158.0918	1.783559098	1.143441452
Bab-0	Morocco	160.4654	179.21825	2.023766443	1.113036513
Bab-3	Morocco	154.5453	170.87555	1.401437723	1.10630466
Bba-0	Morocco	152.8161	170.8362	1.824050076	1.123069271
Bba-1	Morocco	131.2016	153.5541	2.548193066	1.170068069
Bba-2	Morocco	142.608	161.8021	1.277324075	1.128916231
Bbe-0	Morocco	153.93205	175.9324	2.317570541	1.143163087
Elh-10	Morocco	149.75155	170.20625	2.26240892	1.130456748
Elh-15	Morocco	160.9274	175.6024	0.720524231	1.090908724
Elh-2	Morocco	150.5717	162.4481	0.698713874	1.079086325
Elh-23	Morocco	140.8023	156.47035	1.723116045	1.135567785
Elh-27	Morocco	160.53375	172.8564	1.182356105	1.092886316
Elh-33	Morocco	162.43205	178.8977	1.296787129	1.090396674
Elh-39	Morocco	152.2968	166.9867	0.85285344	1.096414207
Elh-46	Morocco	145.91735	164.40585	1.588439532	1.137028546
Elh-52	Morocco	150.96845	169.0346	1.599784831	1.126349394
Elk-20	Morocco	131.9791	152.24035	1.756760722	1.148777989
Elk-28	Morocco	158.17	175.11435	1.38246369	1.108386092
Elk-3	Morocco	152.29245	169.343	1.561934569	1.129397446
Elk-5	Morocco	149.14175	166.653	1.590591227	1.117420392
F1-201	Fogo	139.213	152.6688	0.666829674	1.096656203
F1-203	Fogo	155.013	164.7756	0.285001712	1.062979234
F1-3	Fogo	155.9449	171.1251	0.903907282	1.101609226
F1-7	Fogo	176.809	190.2337	0.711037215	1.07573986
F10-1-3	Fogo	188.67525	196.68395	0.502909678	1.042577532
F10-1-4	Fogo	177.761	186.06485	0.395422759	1.050070954
F10-10-101	Fogo	155.82145	166.4255	0.6583207	1.074023797
F10-10-102	Fogo	174.49935	187.2597	0.771675877	1.061227177
F10-10-201	Fogo	171.1306	180.03785	0.472981564	1.051919905
F10-10-202	Fogo	171.92525	183.9321	0.711135019	1.065171921
F10-11-1	Fogo	181.2918	189.2937	0.323732212	1.044138235
F10-11-2	Fogo	155.2729	162.80365	0.450095359	1.052234998
F10-11-3	Fogo	160.6139	172.4186	0.310822045	1.06891341
F10-12-1	Fogo	154.3611	160.7227	0.628490391	1.074995479
F10-13-1	Fogo	176.9962	177.8911	0.288327058	1.012404933
F10-13-2	Fogo	162.0533	170.28895	0.637097169	1.06554064
F10-13-3	Fogo	154.9667	157.6189	0.209985818	1.020375606
F10-13-4	Fogo	187.4995	192.6243	0.380654311	1.027004971
F10-14-2	Fogo	171.19275	178.4678	0.531370727	1.042250531
F10-15-2	Fogo	182.672	189.62245	0.452736075	1.037813299
F10-18-1	Fogo	171.8104	181.82175	0.767959313	1.067902753
F10-18-3	Fogo	176.8016	190.9816	0.919262556	1.078850072
F10-18-4	Fogo	154.3718	164.60035	0.763949337	1.075453947
F10-19-1	Fogo	161.525	171.4455	0.715242799	1.072350564
F10-9-202	Fogo	169.2249	180.4022	0.781456306	1.076256538
F11-10	Fogo	158.96365	177.4515	0.954472101	1.116299744
F11-4	Fogo	167.78035	182.07355	0.406768057	1.068240716
F11-6	Fogo	137.66925	156.74165	1.317815052	1.133811883
F12-102	Fogo	161.6966	171.4128	1.2072962	1.103206362
F12-103	Fogo	165.37975	181.865	0.785368478	1.096908279
F12-104	Fogo	145.6206	157.7388	0.895104895	1.100998307
F12-107	Fogo	147.56895	168.2273	1.352339968	1.134383288
F12-109	Fogo	146.6167	162.13165	0.818817546	1.10331995
F12-110	Fogo	165.58565	171.8525	0.496063377	1.050144042
F12-111	Fogo	159.00565	174.71935	0.898723654	1.113065708
F12-112	Fogo	148.8487	168.5942	1.010611766	1.129493836
F12-115	Fogo	159.48645	173.9922	0.721111057	1.092905181
F12-116	Fogo	163.25595	178.72775	1.193505795	1.098008343
F12-117	Fogo	169.4198	177.2274	0.825077021	1.062068896
F12-118	Fogo	159.74725	171.1392	1.002983031	1.087084836
F12-119	Fogo	161.07255	178.93855	1.006993007	1.110953294
F12-121	Fogo	137.8526	154.66045	1.021468042	1.1212557
F12-201	Fogo	139.49405	156.0803	0.501540418	1.118085971
F13-10	Fogo	157.7561	172.6038	0.939605849	1.094189457
F13-11	Fogo	155.2304	170.0344	0.758374493	1.082741989
F13-3	Fogo	171.2661	180.6692	0.503300895	1.054903451
F13-301	Fogo	141.57095	153.0563	0.52687173	1.102194088
F13-302	Fogo	170.6912	184.0687	0.896865372	1.089722696
F13-303	Fogo	162.1607	175.44635	0.774316592	1.082151794
F13-4	Fogo	172.71395	184.342	0.416841899	1.062629459
F13-5	Fogo	138.3725	149.07605	0.416059465	1.079059453
F13-6	Fogo	157.0845	170.9648	0.545845763	1.097395424
F13-7	Fogo	168.9721	179.9133	0.598953494	1.071435829
F13-8	Fogo	136.9816	153.1047	0.605408577	1.11770267
F13-T1-0217-209	Fogo	146.636	164.97235	0.625262849	1.113905962
F13-T1-0217-210	Fogo	147.5904	162.5684	0.519536408	1.08943268
F13-T1-0217-221	Fogo	165.67605	174.94155	0.676512299	1.066970946
F13-T1-0217-223	Fogo	158.05355	167.46085	0.749669911	1.073937841
F13-T1-1115-12	Fogo	175.89555	187.8717	0.667905521	1.068821206
F13-T1-1115-14	Fogo	175.1375	181.92275	0.539390679	1.052706105
F13-T1-1115-26	Fogo	170.5487	182.5243	0.589466478	1.05782977
F13-T1-1115-7	Fogo	172.63895	185.67725	0.777348526	1.090882511
F14-1	Fogo	152.92055	166.52055	1.048266419	1.102677797
F14-2	Fogo	163.1046	174.83465	0.833096973	1.07434563
F14-3	Fogo	172.38685	178.9201	0.350041567	1.040878812
F15-1	Fogo	160.7127	173.9456	0.582717981	1.084485595
F15-2	Fogo	165.811	181.48485	0.975011003	1.101401241
F15-3	Fogo	160.1541	172.0967	0.765709815	1.074590125
F15-4	Fogo	153.58415	169.0759	0.76629664	1.096863989
F16-1	Fogo	171.98715	188.6746	0.800723752	1.085694484
F16-11	Fogo	166.17025	181.49505	0.896669764	1.091136381
F16-12	Fogo	153.1571	168.32995	0.767568096	1.084814491
F16-13	Fogo	165.0611	180.04125	1.38246369	1.09145419
F16-14	Fogo	173.6617	187.12765	0.847082987	1.07331289
F16-15	Fogo	148.79785	164.8675	0.624969436	1.081186776
