Population	Sample	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn
SantoAntao	S1-1	45.75	27448.93	1.572	0.103	10.873	124.699	44448.638	1.234	3473.526	174.722	0.364	711.772	0.286	11994.263	1.687	8.078	11540.179	32.351	228.997
SantoAntao	S1-1	65.971	35915.641	3.17	0.135	12.999	162.193	43092.825	1.081	3494.259	246.025	0.629	469.359	0.142	12538.918	0.733	6.724	10150.79	21.578	393.974
SantoAntao	S1-1	50.738	28281.442	1.777	0.077	8.677	96.874	44641.096	0.99	2828.439	182.013	0.614	692.826	0.139	11087.575	1.511	9.483	9570.081	30.321	178.099
SantoAntao	S1-1	52.118	27911.493	1.435	0.113	10.19	128.978	49324.12	0.841	3123.031	159.368	0.603	543.449	0.23	12155.405	0.311	8.259	11066.221	29.532	200.582
SantoAntao	S1-1	54.51	31766.697	0.926	0.079	8.2	92.523	45374.638	1.043	3337.748	168.712	0.411	585.287	0.075	10771.828	0.353	9.461	7790.022	34.298	128.77
SantoAntao	S1-1	67.775	31364.223	0.905	0.097	9.822	123.073	49266.85	1.546	3220.864	158.715	0.554	921.068	0.294	11785.306	2.212	9.231	9095.52	36.578	457.146
Mutant	S1-1-irt1	68.147	32056.389	0.041	0.047	19.103	46.511	43909.777	1.176	3492.22	572.581	0.299	516.307	0.101	12239.697	1.235	9.075	12542.566	28.409	72.804
Mutant	S1-1-irt1	70.934	36219.622	0.119	0.07	16.626	50.923	38083.13	1.633	3871.14	415.891	0.249	1365.076	0.634	10911.567	1.937	8.513	12497.788	33.416	69.752
Mutant	S1-1-irt1	72.442	31128.46	0.33	0.056	15.991	54.332	42355.121	1.47	3313.902	503.379	0.286	1282.564	0.249	11873.672	1.832	10.103	11912.818	24.175	182.784
Mutant	S1-1-irt1	80.725	37478.335	0.184	0.134	24.895	64.543	28359.358	1.076	3439.198	698.041	0.184	381.014	0.226	13161.976	3.843	6.988	13342.719	28.893	884.3
Mutant	S1-1-irt1	90.284	37597.993	0.152	0.097	18.749	70.651	25741.486	1.35	3473.657	645.255	0.225	984.243	0.398	13611.257	1.879	6.184	13433.633	26.051	514.908
Mutant	S1-1-irt1	92.116	33337.954	0.157	0.162	19.073	91.683	23190.202	2.37	4607.891	334.844	0.201	3829.627	0.652	9377.018	3.32	6.63	12370.967	29.819	162.019
