Sample	Population	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn
Agl-0	Morocco	51.599	27582.175	0.666	0.087	7.398	70.953	42185.7345	0.918	3413.0475	151.762	0.316	1037.2595	0.0665	12236.7845	0.523	9.694	9884.4	24.259	158.13
Agl-1	Morocco	55.4765	31317.5225	0.573	0.0875	7.792	79.7015	47014.0865	0.8495	3487.776	136.6825	0.2625	650.293	0.086	11810.19	0.392	9.8375	7583.0005	22.025	118.557
Agl-2	Morocco	61.754	31268.3055	0.4465	0.0935	8.296	79.0375	44988.7905	0.913	3445.6305	146.716	0.2065	953.016	0.135	11746.443	0.6425	8.5245	9493.516	27.73	115.4375
Agl-3	Morocco	51.2975	27565.34	0.4585	0.083	6.309	77.42	48923.764	0.845	3145.3275	131.5895	0.2705	847.366	0.1115	10715.701	0.7415	11.575	8435.342	19.1455	117.9855
Agl-5	Morocco	59.2565	29755.3025	0.387	0.086	6.5735	77.0105	54994.0675	0.9105	3094.7505	147.753	0.137	805.329	0.049	11114.9525	1.1485	9.725	8503.7445	30.832	89.771
Agl-9	Morocco	60.606	28228.498	0.572	0.078	6.863	79.347	52474.885	0.951	3449.866	143.703	0.34	846.822	0.077	12170.347	0.904	9.376	7473.66	20.742	97.787
Ait-9	Morocco	53.598	32259.228	0.356	0.087	7.382	81.084	44135.738	0.817	3964.4	136.865	0.143	1328.6745	0.139	11148.829	1.015	8.7555	8005.3825	19.8455	163.113
Arb-0	Morocco	54.469	29625.692	0.6	0.07	6.867	73.228	49940.755	0.803	3445.389	134.834	0.304	856.737	0.101	10707.606	0.911	10.205	8346.375	31.913	103.733
Arb-2	Morocco	56.0045	30889.3845	0.3075	0.068	8.459	75.0315	44204.5915	0.8885	3585.508	124.3525	0.2335	1623.9865	0.1375	12254.4145	1.029	8.414	9669.29	30.512	104.515
Azr-11	Morocco	47.551	27737.85	0.965	0.072	6.781	78.621	51551.389	0.762	3449.729	135.17	0.433	1283.636	0.076	10763.059	0.575	10.225	7299.137	21.594	121.642
Azr-13	Morocco	41.266	31035.098	0.864	0.081	7.164	82.124	41877.567	0.916	3036.803	161.364	0.407	516.799	0.119	12056.232	0.938	9.436	9154.888	23.116	165.248
Azr-16	Morocco	64.4795	34068.871	0.9785	0.0795	6.466	72.531	43028.3205	0.9605	2871.787	148.9475	0.369	918.7895	0.068	11949.8505	0.4945	9.7335	9037.9915	33.4715	120.918
