Accession	Area (cm2)	Greenness	NRAMP1copy
F1-201	0.666829674	1.096656203	3.4734655
F1-203	0.285001712	1.062979234	3.354630319
F1-3	0.903907282	1.101609226	2.696934782
F1-7	0.711037215	1.07573986	3.123580511
F10-1-3	0.502909678	1.042577532	1.857686734
F10-1-4	0.395422759	1.050070954	2.871414327
F10-10-101	0.6583207	1.074023797	3.178430474
F10-10-102	0.771675877	1.061227177	3.012510126
F10-10-201	0.472981564	1.051919905	2.900804841
F10-10-202	0.711135019	1.065171921	2.275913961
F10-11-1	0.323732212	1.044138235	1.789627692
F10-11-2	0.450095359	1.052234998	1.909052764
F10-11-3	0.310822045	1.06891341	2.69542284
F10-12-1	0.628490391	1.074995479	2.603614867
F10-13-1	0.288327058	1.012404933	0.955741059
F10-13-2	0.637097169	1.06554064	0.989814203
F10-13-3	0.209985818	1.020375606	1.016584693
F10-13-4	0.380654311	1.027004971	1.043452381
F10-14-2	0.531370727	1.042250531	3.020989341
F10-15-2	0.452736075	1.037813299	2.812053171
F10-18-1	0.767959313	1.067902753	2.979834442
F10-18-3	0.919262556	1.078850072	2.812084782
F10-18-4	0.763949337	1.075453947	2.654437409
F10-19-1	0.715242799	1.072350564	2.725861904
F10-9-202	0.781456306	1.076256538	2.709298291
F11-10	0.954472101	1.116299744	4.188086525
F11-4	0.406768057	1.068240716	1.922421642
F11-6	1.317815052	1.133811883	4.54424336
F12-102	1.2072962	1.103206362	3.304764085
F12-103	0.785368478	1.096908279	3.473528908
F12-104	0.895104895	1.100998307	3.35287345
F12-107	1.352339968	1.134383288	4.734971297
F12-109	0.818817546	1.10331995	4.797520868
F12-110	0.496063377	1.050144042	2.235187947
F12-111	0.898723654	1.113065708	3.021796976
F12-112	1.010611766	1.129493836	4.500531037
F12-115	0.721111057	1.092905181	4.12986947
F12-116	1.193505795	1.098008343	3.81335783
F12-117	0.825077021	1.062068896	3.92387879
F12-118	1.002983031	1.087084836	6.065257224
F12-119	1.006993007	1.110953294	7.310395988
F12-121	1.021468042	1.1212557	6.198495452
F12-201	0.501540418	1.118085971	4.980798232
F13-10	0.939605849	1.094189457	1.914163892
F13-11	0.758374493	1.082741989	2.516320076
F13-3	0.503300895	1.054903451	2.249234562
F13-301	0.52687173	1.102194088	2.9258136
F13-302	0.896865372	1.089722696	2.989018491
F13-303	0.774316592	1.082151794	3.973219853
F13-4	0.416841899	1.062629459	2.336547803
F13-5	0.416059465	1.079059453	2.311737889
F13-6	0.545845763	1.097395424	4.732364949
F13-7	0.598953494	1.071435829	2.436533587
F13-8	0.605408577	1.11770267	2.732574059
F13-T1-0217-209	0.625262849	1.113905962	2.891874231
F13-T1-0217-210	0.519536408	1.08943268	2.798252157
F13-T1-0217-221	0.676512299	1.066970946	3.482910469
F13-T1-0217-223	0.749669911	1.073937841	2.190182906
F13-T1-1115-12	0.667905521	1.068821206	2.584607152
F13-T1-1115-14	0.539390679	1.052706105	2.427116811
F13-T1-1115-26	0.589466478	1.05782977	2.968698123
F13-T1-1115-7	0.777348526	1.090882511	2.750817931
F14-1	1.048266419	1.102677797	3.136423289
F14-2	0.833096973	1.07434563	3.528054806
F14-3	0.350041567	1.040878812	3.751673228
F15-1	0.582717981	1.084485595	2.938312034
F15-2	0.975011003	1.101401241	2.739767835
F15-3	0.765709815	1.074590125	2.547366989
F15-4	0.76629664	1.096863989	3.104428007
F16-1	0.800723752	1.085694484	1.888376156
F16-11	0.896669764	1.091136381	3.060926256
F16-12	0.767568096	1.084814491	2.245868493
F16-13	1.38246369	1.09145419	2.546550214
F16-14	0.847082987	1.07331289	2.201925024
F16-15	0.624969436	1.081186776	3.087515765
F16-16	0.60501736	1.057452957	3.101549938
F16-23	0.882292533	1.096137294	5.09989994
F16-24	0.703604088	1.086701438	3.067483968
F16-25	0.576947528	1.065918962	2.343527418
F16-3	0.495280943	1.092297894	3.175288083
F16-5	0.365983667	1.042974186	3.365557931
F16-6	0.276786151	1.049004046	2.474873746
F16-7	0.552789867	1.086810928	2.964452414
F2-301	0.447356839	1.083362953	3.210308393
F2-4	0.468482566	1.062227122	2.117389869
F2-5	0.153552741	1.058703751	2.154771102
F2-6	0.936280503	1.080100583	3.952282882
F2-SS1	0.675534256	1.066328015	3.093930231
F3-1	0.837302558	1.085800348	3.079440031
F3-2	0.922881314	1.111812668	5.805886054
F3-3	0.643258839	1.082346628	4.011987264
F3-SS2	0.760526187	1.068641738	2.97943519
F3-T1-1115-12	0.960633772	1.069732791	3.025902762
F3-T1-1115-2	0.574600225	1.076287203	3.195665729
F3-T1-1115-20	1.529170131	1.09214692	5.667235487
F3-T1-1115-28	0.329991687	1.054840377	3.084107308
F3-T1-1115-3	0.621057264	1.064470651	3.125650346
F3-T2-1115-13	0.650202944	1.075534194	3.342114882
F3-T2-1115-8	1.283290136	1.115328994	5.104356443
