Sample	Fe	NRAMP1copy
F1-3	53.7945	2.696934782
F10-1-3	45.78	1.857686734
F10-10-101	57.7815	3.178430474
F10-10-102	46.808	3.012510126
F10-10-201	46.613	2.900804841
F10-10-202	48.8445	2.275913961
F10-12-1	53.9335	2.603614867
F10-18-1	45.473	2.979834442
F10-18-3	51.521	2.812084782
F10-18-4	56.489	2.654437409
F10-19-1	51.041	2.725861904
F10-9-202	51.5925	2.709298291
F11-10	54.717	4.188086525
F11-4	51.5555	1.922421642
F11-6	56.717	4.54424336
F12-102	57.419	3.304764085
F12-103	57.435	3.473528908
F12-107	58.996	4.734971297
F12-109	61.7	4.797520868
F12-111	58.309	3.021796976
F12-112	55.7235	4.500531037
F12-116	58.6525	3.81335783
F12-117	58.9495	3.92387879
F12-118	52.8325	6.065257224
F12-119	52.804	7.310395988
F12-121	49.297	6.198495452
F12-201	62.724	4.980798232
F13-10	49.653	1.914163892
F13-11	46.582	2.516320076
F13-301	52.027	2.9258136
F13-302	54.181	2.989018491
F13-303	51.9715	3.973219853
F13-4	55.712	2.336547803
F13-5	45.937	2.311737889
F13-6	64.043	4.732364949
F13-8	53.9205	2.732574059
F13-T1-0217-209	51.58	2.891874231
F13-T1-0217-210	52.671	2.798252157
F13-T1-0217-221	53.184	3.482910469
F13-T1-0217-223	45.493	2.190182906
F13-T1-1115-12	50.34	2.584607152
F13-T1-1115-14	51.2115	2.427116811
F13-T1-1115-26	58.8855	2.968698123
F13-T1-1115-7	52.5085	2.750817931
F14-1	51.4485	3.136423289
F14-2	52.858	3.528054806
F15-1	53.151	2.938312034
F15-2	50.233	2.739767835
F15-3	53.306	2.547366989
F15-4	53.369	3.104428007
F16-1	48.964	1.888376156
F16-11	57.0645	3.060926256
F16-12	55.204	2.245868493
F16-13	52.915	2.546550214
F16-14	45.3415	2.201925024
F16-15	53.0555	3.087515765
F16-16	54.665	3.101549938
F16-23	48.1355	5.09989994
F16-24	49.139	3.067483968
F16-25	43.879	2.343527418
F16-6	48.8855	2.474873746
F16-7	47.544	2.964452414
F2-4	39.93	2.117389869
F2-SS1	49.197	3.093930231
F3-1	48.958	3.079440031
F3-2	55.114	5.805886054
F3-T1-1115-2	61.094	3.195665729
F3-T1-1115-20	55.855	5.667235487
F3-T1-1115-3	53.222	3.125650346
F3-T2-1115-13	50.12	3.342114882
F3-T2-1115-8	57.857	5.104356443
F4-103	63.431	5.363655
F4-104	55.548	3.523769185
F4-105	59.396	3.589003411
F4-13	56.339	5.962829245
F4B-16	51.8745	3.140640975
F4B-17	48.382	3.021844262
F5-1	53.218	5.972020517
F5-3	56.4215	5.187974002
F5-7S1	56.856	3.708005822
F5-8	52.9695	3.26983106
F5-SS1	55.9785	5.642117612
F5-T1-1115-10	39.391	2.188634294
F5-T1-1115-55	53.4345	3.048536115
F7-11T	48.588	3.120760101
F7-19b	46.915	3.240382236
F7-6T	51.5645	2.78791542
F7-7B	52.424	2.935797929
F7-B12	47.408	3.083724411
F7-B2	54.04	2.383702025
F7-B8	50.6865	3.031814501
F7-S1	54.621	2.939831
F7-S4	49.032	3.194936431
F7-T14	55.53	3.350649708
F7-T5	56.902	3.293831933
F8-2	52.781	2.923068535
F8-302	50.6495	3.164920393
F8-5	51.2315	2.947690737
F8-6	54.884	3.298724869
F8-7	53.693	2.996457301
F8B-1	48.357	3.176642639
F9-2	59.1755	5.579482486
F9-3	51.99	2.151791813
