SeqID	SampleID	Sub-population	Region	PC1	PC2
3968_AS	F1-201	F1 	MonteVelha	-0.00448002	0.0270111
3968_AT	F1-203	F1 	MonteVelha	-0.00449884	0.0271316
13184	F1-3	F1 	MonteVelha	-0.00448628	0.0270512
3541_AE	F1-7	F1 	MonteVelha	-0.00447378	0.0269712
3968_BA	F10-10-201	F10	Lava	0.058023	-0.244848
3968_BB	F10-10-202	F10	Lava	0.0581043	-0.245212
3968_BC	F10-12-1	F10	Lava	0.0551481	-0.231919
3968_BD	F10-13-3	F10	Lava	-0.0132573	0.0193776
3968_BE	F10-13-4	F10	Lava	-0.0132018	0.0192914
3968_BF	F10-15-2	F10	Lava	0.0535548	-0.224801
3968_BG	F10-18-3	F10	Lava	0.0156675	-0.0586723
3968_BH	F10-18-4	F10	Lava	0.0156675	-0.0586723
3968_BI	F10-9-202	F10	Lava	0.0549164	-0.230884
21230	F10-1-4	F10	Lava	0.0549185	-0.230894
21228	F10-1-3	F10	Lava	0.0553042	-0.232616
3536_F	F10-13-2	F10	Lava	-0.013165	0.0192343
3536_G	F10-10-102	F10	Lava	0.0532564	-0.223472
3536_K	F10-18-1	F10	Lava	0.0156675	-0.0586723
3536_E	F10-13-1	F10	Lava	-0.013165	0.0192343
3536_L	F10-19-1	F10	Lava	0.0546104	-0.229519
3619_G	F10-14-2	F10	Lava	0.053223	-0.223322
3619_S	F10-10-101	F10	Lava	0.0533298	-0.223437
3619_T	F10-11-1	F10	Lava	0.0496784	-0.207466
3619_U	F10-11-2	F10	Lava	0.0496784	-0.207466
3619_V	F10-11-3	F10	Lava	0.0496769	-0.20746
3968_BJ	F11-4	F11	Inferno	0.0744129	0.057553
22610	F11-10	F11	Inferno	0.118559	0.0295332
3619_L	F11-6	F11	Inferno	0.115558	0.028739
3968_BK	F12-104	F12	Inferno	0.115585	0.0286314
3968_BL	F12-201	F12	Inferno	0.116071	0.0287592
3968_BM	F12-301	F12	Inferno	0.0652393	0.050007
3541_G	F12-118	F12	Inferno	0.102378	0.0257615
3536_N	F12-103	F12	Inferno	0.133464	0.0933705
3536_P	F12-116	F12	Inferno	0.0650576	0.0498592
3536_Q	F12-109	F12	Inferno	0.101947	0.0256464
3536_S	F12-107	F12	Inferno	0.101947	0.0256464
3536_T	F12-112	F12	Inferno	0.115263	0.0285466
3536_U	F12-117	F12	Inferno	0.089735	0.0233997
3536_V	F12-110	F12	Inferno	0.0655165	0.0501498
3541_K	F12-115	F12	Inferno	0.102375	0.0257605
3619_F	F12-121	F12	Inferno	0.102093	0.0256853
3619_H	F12-102	F12	Inferno	0.115424	0.0285891
3619_I	F12-111	F12	Inferno	0.0649437	0.0497594
3619_O	F12-119	F12	Inferno	0.102093	0.0256853
3968_BN	F13-10	F13	Inferno	0.135973	0.0952348
3968_BO	F13-11	F13	Inferno	0.136248	0.0927646
3968_BP	F13-301	F13	Inferno	0.136563	0.0956708
3968_BQ	F13-302	F13	Inferno	0.136654	0.0953353
3968_BR	F13-303	F13	Inferno	0.136533	0.0956527
3968_BS	F13-4	F13	Inferno	0.0745425	0.057558
3968_BT	F13-7	F13	Inferno	0.0879625	0.048126
3968_BU	F13-T1-1115-12	F13	Inferno	0.136833	0.0931879
22640	F13-3	F13	Inferno	0.14576	0.10258
21229	F13-6	F13	Inferno	0.119769	0.029854
21226	F13-8	F13	Inferno	0.134903	0.0917916
3536_B	F13-T1-0217-210	F13	Inferno	0.083529	0.0498094
3536_C	F13-T1-0217-221	F13	Inferno	0.133296	0.0932451
3536_I	F13-T1-1115-14	F13	Inferno	0.0330626	0.0451763
3536_AC	F13-T1-1115-26	F13	Inferno	0.133771	0.0909738
3536_AD	F13-T1-1115-7	F13	Inferno	0.0878399	0.0480549
3619_C	F13-5	F13	Inferno	0.143114	0.100603
3619_J	F13-T1-0217-223	F13	Inferno	0.143314	0.100752
3619_W	F13-T1-0217-209	F13	Inferno	0.0834127	0.0497358
3541_AC	F14-2	F14	Inferno	0.0414972	-0.0064444
3536_Z	F14-1	F14	Inferno	0.0415551	-0.00645394
3619_Q	F14-3	F14	Inferno	0.0414972	-0.0064444
3541_E	F15-3	F15	Inferno	0.0788268	0.0465159
3536_D	F15-1	F15	Inferno	0.0788268	0.0465159
3541_C	F15-4	F15	Inferno	0.0788268	0.0465159
3619_K	F15-2	F15	Inferno	0.0789367	0.0465847
3968_BV	F16-12	F16	MonteVelha	-0.000231473	0.0186376
3968_BW	F16-13	F16	MonteVelha	-0.000231798	0.0186654
3968_BX	F16-15	F16	MonteVelha	-0.0969148	0.0314733
3968_BY	F16-16	F16	MonteVelha	-0.0966441	0.0313799
3968_BZ	F16-23	F16	MonteVelha	-0.101451	0.0332384
3968_CA	F16-24	F16	MonteVelha	-0.101304	0.0328558
3541_X	F16-5	F16	MonteVelha	-0.0913344	0.0287388
3541_AD	F16-3	F16	MonteVelha	-0.0913344	0.0287388
3536_R	F16-14	F16	MonteVelha	-0.0854461	0.0277036
3536_Y	F16-7	F16	MonteVelha	-0.0905737	0.0286112
3536_AA	F16-25	F16	MonteVelha	-0.0532723	0.0236406
3536_AB	F16-1	F16	MonteVelha	0.00819158	0.00790781
3619_E	F16-11	F16	MonteVelha	-0.09056	0.0284801
3619_R	F16-6	F16	MonteVelha	0.00814568	0.00786077
3968_AU	F2-301	F2 	MonteVelha	-0.0250001	0.0121078
3968_AV	F2-303	F2 	MonteVelha	-0.0251406	0.01218
13180	F2-5	F2 	MonteVelha	-0.0746983	0.0161891
12909	F2-4	F2 	MonteVelha	-0.0746983	0.0161891
3541_U	F2-6	F2 	MonteVelha	-0.0227849	0.00158069
3536_M	F2-SS1	F2 	MonteVelha	-0.024752	0.0119801
3968_AW	F3-T1-1115-2	F3 	MonteVelha	-0.0633871	-0.0465735
27164	F3-1	F3 	MonteVelha	-0.0974076	0.0318242
22614	F3-SS2	F3 	MonteVelha	-0.0976797	0.0319186
16294	F3-3	F3 	MonteVelha	-0.0459856	0.0165407
13573	F3-1	F3 	MonteVelha	-0.0974076	0.0318242
3541_A	F3-T2-1115-13	F3 	MonteVelha	-0.0433032	0.0170872
3541_B	F3-T1-1115-28	F3 	MonteVelha	-0.0908322	0.0287237
2876_AH	F3-2	F3 	MonteVelha	-0.0879272	0.0282198
3619_A	F3-T1-1115-12	F3 	MonteVelha	-0.0458165	0.0024303
3619_B	F3-T1-1115-3	F3 	MonteVelha	-0.0458076	0.00208725
3619_D	F3-T2-1115-8	F3 	MonteVelha	-0.0399364	-0.131518
3619_X	F3-T1-1115-20	F3 	MonteVelha	-0.0397684	-0.130931
13187	F4-4	F4 	MonteVelha	-0.100921	0.0378847
3541_O	F4-101	F4 	MonteVelha	-0.0555474	0.0238325
3541_P	F4-2	F4 	MonteVelha	-0.073739	0.0249685
3541_Q	F4-13	F4 	MonteVelha	-0.0184641	-0.000176208
3541_V	F4-12	F4 	MonteVelha	0.00814013	0.00781735
3541_Z	F4-105	F4 	MonteVelha	-0.0678284	0.0170995
3536_H	F4-102	F4 	MonteVelha	-0.063784	0.0230719
3536_J	F4-103	F4 	MonteVelha	-0.0557805	0.0239386
3536_O	F4-104	F4 	MonteVelha	-0.0677339	0.0170742
