Time	Frequency
0	0.999999909
10	0.999907263
20	0.999907277
30	0.999907278
40	0.999907283
50	0.999907306
60	0.999907286
70	0.999907302
80	0.999907299
90	0.999907295
100	0.999907288
110	0.999907297
120	0.999907292
130	0.999907295
140	0.999907299
150	0.999907257
160	0.999907289
170	0.999907293
180	0.999907288
190	0.999907288
200	0.999907288
210	0.999907293
220	0.999907287
230	0.999907287
240	0.999907283
250	0.999907287
260	0.999907288
270	0.999907288
280	0.999907287
290	0.999907287
300	0.999907256
310	0.999907287
320	0.999907287
330	0.999907287
340	0.999907287
350	0.999907287
360	0.999907287
370	0.999907287
380	0.999907287
390	0.999907292
400	0.999907287
410	0.999907287
420	0.999907287
430	0.999907287
440	0.999907287
450	0.999907287
460	0.999907287
470	0.999907287
480	0.999907287
490	0.999907287
500	0.999907287
510	0.999907285
520	0.999907287
530	0.999907287
540	0.999907287
550	0.999907292
560	0.999907287
570	0.999907287
580	0.999907287
590	0.999907292
600	0.999907286
610	0.999907286
620	0.999907286
630	0.999907286
640	0.999907286
650	0.999907286
660	0.999907287
670	0.999907286
680	0.999907286
690	0.999907286
700	0.999907286
710	0.999907286
720	0.999907286
730	0.999907286
740	0.999907286
750	0.999907286
760	0.999907286
770	0.999907286
780	0.999907286
790	0.999907286
800	0.999907286
810	0.999907286
820	0.999907287
830	0.999907286
840	0.999907286
850	0.999907287
860	0.999907286
870	0.999907286
880	0.999907286
890	0.999907286
900	0.999907286
910	0.999907286
920	0.999907286
930	0.999907286
940	0.999907287
950	0.999907286
960	0.999907286
970	0.999907286
980	0.999907286
990	0.999907286
1000	0.999921715
1010	0.999917196
1020	0.999917194
1030	0.999917194
1040	0.999917194
1050	0.999917194
1060	0.999917194
1070	0.999917194
1080	0.999917194
1090	0.999917194
1100	0.999917194
1110	0.999917194
1120	0.999917194
1130	0.99991718
1140	0.999917194
1150	0.999917194
1160	0.999917194
1170	0.999917194
1180	0.999917194
1190	0.999917194
1200	0.999917194
1210	0.999917194
1220	0.999917194
1230	0.999917194
1240	0.999917194
1250	0.999917194
1260	0.999917194
1270	0.999917194
1280	0.999917194
1290	0.999917194
1300	0.999917194
1310	0.999917194
1320	0.999917194
1330	0.999917194
1340	0.999917194
1350	0.999917194
1360	0.999917194
1370	0.999917194
1380	0.999917194
1390	0.999909938
1400	0.999912074
1410	0.999912074
1420	0.999912074
1430	0.999912074
1440	0.999912074
1450	0.999912074
1460	0.999912074
1470	0.999912074
1480	0.999912074
1490	0.999912074
1500	0.999912063
1510	0.999912067
1520	0.999912067
1530	0.999912067
1540	0.999912067
1550	0.999912067
