3968_BJ	F11-4
3968_BK	F12-104
3968_BL	F12-201
3968_BM	F12-301
3968_BN	F13-10
3968_BO	F13-11
3968_BP	F13-301
3968_BQ	F13-302
3968_BR	F13-303
3968_BS	F13-4
3968_BT	F13-7
3968_BU	F13-T1-1115-12
22640	F13-3
22610	F11-10
21229	F13-6
21226	F13-8
3541_G	F12-118
3536_B	F13-T1-0217-210
3536_C	F13-T1-0217-221
3536_I	F13-T1-1115-14
3536_N	F12-103
3536_P	F12-116
3536_Q	F12-109
3536_S	F12-107
3536_T	F12-112
3536_U	F12-117
3536_V	F12-110
3536_AC	F13-T1-1115-26
3536_AD	F13-T1-1115-7
3541_K	F12-115
3619_C	F13-5
3619_F	F12-121
3619_H	F12-102
3619_I	F12-111
3619_J	F13-T1-0217-223
3619_L	F11-6
3619_O	F12-119
3619_W	F13-T1-0217-209
