3968_AS	F1-201
3968_AT	F1-203
3968_AU	F2-301
3968_AV	F2-303
3968_AW	F3-T1-1115-2
3968_AX	F8-301
3968_AY	F8-302
35515	F7-B2
35514	F7-B12
27173	F7-T14
27171	F7-B8
27167	F7-T5
27166	F7-R3
27164	F3-1
27155	F5-7S1
22635	F5-SS1
22625	F5-7-4
22621	F5-7-3
22614	F3-SS2
16295	F5-8
16294	F3-3
13584	F5-3
13577	F7-S10
13576	F7-6T
13575	F7-S1
13574	F7-7B
13573	F3-1
13572	F7-11T
13571	F7-S4
13187	F4-4
13186	F8-7
13184	F1-3
13182	F8-2
13181	F5-1
13180	F2-5
12915	F8-5
12910	F7-19b
12909	F2-4
12768	F8-6
12767	F7-4b
3541_A	F3-T2-1115-13
3541_B	F3-T1-1115-28
3541_D	F5-T1-1115-25
3541_O	F4-101
3541_P	F4-2
3541_Q	F4-13
3541_U	F2-6
3541_V	F4-12
3541_Z	F4-105
3541_AE	F1-7
3536_H	F4-102
3536_J	F4-103
3536_M	F2-SS1
3536_O	F4-104
2876_AH	F3-2
3541_R	F4-106
3619_A	F3-T1-1115-12
3619_B	F3-T1-1115-3
3619_D	F3-T2-1115-8
3619_M	F5-T1-1115-10
3619_N	F5-T1-1115-55
3619_X	F3-T1-1115-20
