Sample	RelativeChlorophyll	Green	Red	Greenness	Area(cm2)
F10-1-3	10.8	195.52	185.93	1.051550389	0.528730011
F10-12-1	26	160.72	154.36	1.074995479	0.628490391
F10-19-1	31.3	188.99	181.26	1.068174576	0.716905472
F11-10	40.7	178.42	159.75	1.115770926	0.95809086
F11-4	17.2	190.8	176.11	1.053111712	0.339576507
F12-102	42	164.12	147.34	1.103206362	1.221575627
F12-104	37.24	151.66	137.99	1.102880611	0.927575921
F12-107	45.3	174.3	154.34	1.129351232	1.25306861
F12-110	27.3	184.67	179.53	1.051517537	0.513081324
F12-112	40.76	169.37	149.62	1.131993001	1.086801311
F12-116	39.4	176.62	160.86	1.098023515	1.071543841
F12-118	38.9	171.61	162.18	1.084882333	0.931096875
F12-119	43.49	179.26	162.12	1.105695445	0.980781456
F12-121	38.4	155.19	136.89	1.132122613	1.140202455
F13-6	41.9	172.87	157.45	1.097395424	0.977749523
F13-8	35.5	153.1	136.98	1.11770267	0.605408577
F14-1	34.51	172.34	154.98	1.107606701	1.061372194
F16-12	26	155.34	139.1	1.084355831	0.643552252
F16-15	33.5	166	152.72	1.075417372	0.617927527
F16-5	31	186.25	174.52	1.042974186	0.365983667
F2-6	30.4	188.87	173.76	1.073227104	0.820969241
F3-2	38.4	182.79	164.64	1.110192423	0.944985085
F3-3	34.5	180.89	167.44	1.080884996	0.703604088
F4-101	36.2	177.54	162.33	1.093701834	0.958482077
F4-2	26.2	171.16	167.7	1.057917422	0.361875886
F5-1	40.58	184.09	172.69	1.075880922	0.864589955
F5-3	41.6	162.82	145.24	1.103136023	1.124162551
F5-7-4	32.8	169.99	154.51	1.100219275	0.81412294
F7-B2	28.8	162.01	151.14	1.071900506	0.567460512
F9-2	33.2	166.18	150.28	1.09228932	0.708689911
F9-3	29.4	172.28	160.58	1.072866068	0.426231112
