Sample	Red	Green	Greenness	Area(cm2)
Col-0	143.5037	193.8903	1.351117079	6.907312708
Col-0	137.9075	186.2852	1.35079818	7.047443109
Col-0	135.5741	188.738	1.392139059	10.94828688
Col-0	137.0784	185.979	1.35673454	9.647161851
Col-0	137.0143	184.063	1.343385325	10.43872411
Col-0	137.8201	187.8972	1.363351209	8.300281258
Col-0	142.6974	190.4187	1.334423052	10.8482741
Col-0	138.877	187.8776	1.352834523	8.763589875
Col-0	142.3284	194.6732	1.367774808	7.754998722
Col-0	141.3516	189.7956	1.342719856	8.212720532
Col-0-irt1	233.9911	223.9796	0.957214185	0.187547942
Col-0-irt1	215.8773	215.7907	0.999598846	0.145653286
Col-0-irt1	239.3512	223.0748	0.931997834	0.406481718
Col-0-irt1	239.5814	223.8941	0.934522046	0.197097929
Col-0-irt1	220.5598	214.103	0.9707254	0.275006392
Col-0-irt1	231.7054	222.8275	0.961684536	0.208808489
Col-0-irt1	238.4269	223.8909	0.939033725	0.193505497
Col-0-irt1	237.8071	223.048	0.937936672	0.161748913
Col-0-irt1	242.9558	225.6406	0.92873107	0.123970851
Col-0-irt1	227.7154	218.6704	0.960279366	0.259716185
S1-1	160.0974	204.4361	1.276948283	5.804998722
S1-1	160.9764	202.6537	1.258903168	4.638877525
S1-1	158.8103	201.1634	1.266689881	5.109115316
S1-1	163.6963	204.578	1.249741136	4.623012017
S1-1	163.472	204.8315	1.253006631	6.591715674
S1-1	160.8428	201.1802	1.250787726	3.995308105
S1-1	151.1136	193.6775	1.281668228	8.908642291
S1-1	167.1605	207.2147	1.23961522	3.496228586
S1-1	167.2105	208.0304	1.244122827	5.51417796
S1-1	168.5429	203.7055	1.208627002	4.90597034
S1-1-irt1(E32fs)	203.8894	220.3182	1.080577019	1.757172079
S1-1-irt1(E32fs)	189.7293	206.748	1.089699904	1.323638456
S1-1-irt1(E32fs)	206.3752	217.6816	1.054785653	0.983776528
S1-1-irt1(E32fs)	203.4061	217.1695	1.067664637	2.042661723
S1-1-irt1(E32fs)	198.0271	215.0284	1.085853401	1.462426489
S1-1-irt1(E32fs)	193.429	211.5427	1.093645213	1.689043723
S1-1-irt1(E32fs)	194.3059	210.1591	1.081588876	1.632536436
S1-1-irt1(E32fs)	201.0312	214.6264	1.067627314	1.848082332
S1-1-irt1(E32fs)	206.3209	216.3597	1.048656244	0.906456149
S1-1-irt1(E32fs)	201.6055	218.9612	1.086087433	1.845538226
S1-1-irt1(A62fs)	192.954	209.5232	1.085871244	1.381283559
S1-1-irt1(A62fs)	192.2925	210.5282	1.094833132	1.833776528
S1-1-irt1(A62fs)	196.7615	207.6555	1.055366522	1.37296088
S1-1-irt1(A62fs)	197.7399	212.9616	1.076978394	1.237560726
S1-1-irt1(A62fs)	192.2557	207.619	1.079910765	0.734824853
S1-1-irt1(A62fs)	194.8968	209.3674	1.074247499	1.527563283
S1-1-irt1(A62fs)	194.1486	204.758	1.054645771	0.642214267
S1-1-irt1(A62fs)	188.8574	199.3586	1.055603858	1.117259013
S1-1-irt1(A62fs)	205.1954	216.176	1.053512896	0.603899259
S1-1-irt1(A62fs)	191.594	209.2947	1.092386505	1.902109435
F10-13-1	188.8622	209.6918	1.110289936	2.532843263
F10-13-1	188.5795	215.3457	1.141935894	2.893658911
F10-13-1	180.98	201.3622	1.112621284	1.737637433
F10-13-1	195.8387	214.0862	1.09317617	1.544515469
F10-13-1	202.1581	219.2489	1.084541752	2.213410892
F10-13-1	193.4732	215.9702	1.116279671	2.668716441
F10-13-1	193.8322	209.0908	1.078720667	1.857747379
F10-13-1	182.8661	208.9771	1.142787537	1.969099974
F10-13-1	192.0083	210.9839	1.098826978	2.023715162
F10-13-1	190.4914	211.6759	1.111209745	2.695742777
F13-8	164.594	203.3305	1.23534576	5.18805932
F13-8	170.0928	204.5653	1.202668778	4.542265405
F13-8	166.9306	201.0044	1.204119556	3.960380977
F13-8	173.9361	212.8972	1.223996629	4.907108156
F13-8	173.9282	210.5024	1.210283324	5.256366658
F13-8	169.7641	206.7383	1.21779752	5.008066991
F13-8	187.9287	222.2146	1.182441	5.446624904
F13-8	168.2049	203.8137	1.211698946	4.369598568
F13-8	158.7284	197.3851	1.243539908	5.1505753
F13-8	172.2687	207.141	1.202429693	4.027895679
F3-2	165.9492	203.7134	1.227564821	8.453618001
F3-2	162.619	201.6293	1.239887713	9.153132191
F3-2	165.8434	203.2554	1.225586306	6.196676042
F3-2	158.9698	195.1451	1.227560832	8.743313731
F3-2	164.7586	199.0149	1.20791813	4.522896957
F3-2	174.2816	213.199	1.223301829	4.888008182
F3-2	178.4995	214.7823	1.203265555	5.352441831
F3-2	173.5078	211.8472	1.220966435	7.320761953
F3-2	178.0306	211.2544	1.18661848	4.56532856
F3-2	164.8202	201.6261	1.2233094	3.5323191
