Genotype	Individual	Condition	Red	Green	Greenness	Area (cm2)
Col-0	#1	Fe	119.1587	142.4878	1.19578176	12.0336
Col-0	#2	Fe	112.9515	136.9591	1.212547863	13.0238
Col-0	#3	Fe	115.101	137.8381	1.197540421	10.626
Col-0	#4	Fe	136.1526	154.5283	1.134964004	5.5982
Col-0	#5	Fe	117.7164	139.7615	1.187272971	8.0635
Col-0-irt1	#1	Fe	122.948	148.3113	1.206292904	5.9089
Col-0-irt1	#3	Fe	118.4442	142.3036	1.201440003	4.1552
Col-0-irt1	#4	Fe	134.8653	158.4536	1.174902662	3.8537
Col-0-irt1	#5	Fe	135.4793	159.1143	1.174454695	2.196
F10-13-1	#1	Fe	147.7553	163.818	1.108711498	2.4753
F10-13-1	#2	Fe	165.1279	176.8065	1.070724572	2.8564
F10-13-1	#3	Fe	149.6759	165.2923	1.104334766	1.6122
F10-13-1	#4	Fe	150.615	167.6867	1.113346612	3.0493
F10-13-1	#5	Fe	154.2	168.4282	1.092271077	2.6286
F13-8	#1	Fe	133.2847	152.6634	1.145393282	7.313
F13-8	#2	Fe	132.0737	153.5059	1.162274548	7.4807
F13-8	#3	Fe	134.413	153.3842	1.14114111	4.8992
F13-8	#4	Fe	146.7683	165.2154	1.125688585	5.9498
F13-8	#5	Fe	152.6209	171.4511	1.123378908	3.8361
F3-2	#1	Fe	143.1782	161.2133	1.125962612	3.2352
F3-2	#2	Fe	137.4416	160.7014	1.16923406	9.2502
F3-2	#3	Fe	143.9963	164.0115	1.138998016	5.7964
F3-2	#4	Fe	121.1084	132.6415	1.095229563	7.621
F3-2	#5	Fe	143.8347	165.157	1.148241697	6.4451
S1-1	#1	Fe	128.4803	147.0226	1.14432018	7.0189
S1-1	#2	Fe	131.82	152.1285	1.154062358	4.3087
S1-1	#3	Fe	141.9596	161.7479	1.139393884	4.9908
S1-1	#4	Fe	137.471	154.8997	1.126780921	5.903
S1-1	#5	Fe	142.895	160.6807	1.124466916	4.9361
S1-1-irt1	#1	Fe	144.7467	162.3601	1.121684294	2.961
S1-1-irt1	#2	Fe	147.5544	163.9857	1.111357574	3.3306
S1-1-irt1	#3	Fe	149.8688	167.0114	1.114384048	3.116
S1-1-irt1	#4	Fe	138.3553	155.4049	1.123230552	2.497
S1-1-irt1	#5	Fe	151.2767	167.5759	1.107744286	2.8095
Col-0	#1	Standard	101.8857	124.1123	1.218152302	12.632
Col-0	#2	Standard	101.4041	123.4316	1.217224945	18.1677
Col-0	#3	Standard	107.7869	131.2342	1.217533856	14.0451
Col-0	#4	Standard	145.5096	167.6483	1.152145975	8.4668
Col-0	#5	Standard	108.4308	131.6301	1.213954891	12.0931
Col-0-irt1	#1	Standard	157.0504	166.8928	1.062670327	1.3129
Col-0-irt1	#2	Standard	158.0623	169.1883	1.070389966	1.1593
Col-0-irt1	#3	Standard	150.9611	161.1079	1.067214667	0.924
Col-0-irt1	#4	Standard	160.8265	168.3147	1.046560735	0.6847
Col-0-irt1	#5	Standard	142.4608	152.7711	1.072372891	0.5622
F10-13-1	#1	Standard	166.2564	171.8818	1.03383569	1.4642
F10-13-1	#2	Standard	137.6746	151.9912	1.103988681	0.4811
F10-13-1	#3	Standard	160.9122	169.9748	1.056320155	1.5631
F10-13-1	#4	Standard	159.6178	163.6453	1.025232148	1.5864
F10-13-1	#5	Standard	152.1914	161.4658	1.060939054	1.5472
F13-8	#1	Standard	125.8743	146.0901	1.160603078	5.6212
F13-8	#2	Standard	137.4495	158.5051	1.153187898	7.7741
F13-8	#3	Standard	139.8461	161.5671	1.155320742	10.4424
F13-8	#4	Standard	141.3668	161.1183	1.139718095	6.9195
F13-8	#5	Standard	144.3033	163.2544	1.131328251	5.191
F3-2	#1	Standard	125.903	146.7584	1.165646569	7.053
F3-2	#2	Standard	119.975	140.4349	1.170534695	9.2086
F3-2	#3	Standard	132.017	151.3258	1.146259951	8.0963
F3-2	#4	Standard	103.0149	123.9447	1.203172551	12.4558
F3-2	#5	Standard	140.2429	160.3323	1.14324718	8.0098
S1-1	#1	Standard	114.5076	136.3452	1.190708739	3.9118
S1-1	#2	Standard	127.0015	148.4185	1.168635804	7.281
S1-1	#3	Standard	127.1094	149.0535	1.172639474	6.2103
S1-1	#4	Standard	123.1056	144.0642	1.170248957	6.4661
S1-1	#5	Standard	135.4102	155.7874	1.150484971	7.4399
S1-1-irt1	#1	Standard	156.0343	162.383	1.040687849	1.2872
S1-1-irt1	#2	Standard	154.2656	166.3525	1.078351233	2.1442
S1-1-irt1	#3	Standard	154.001	158.1158	1.026719307	1.873
S1-1-irt1	#4	Standard	144.0137	153.5738	1.066383268	0.8218
S1-1-irt1	#5	Standard	166.3909	173.2779	1.041390485	0.6644
