Sample	Phi2	PhiNPQ	RelativeChlorophyll	Experiment
F1-3	0.7	0.084	34.54	Exp1
F1-3	0.708	0.082	34.84	Exp1
F1-3	0.695	0.09	27.10	Exp1
F10-10-101	0.641	0.109	26.24	Exp1
F10-10-101	0.662	0.102	26.06	Exp1
F10-10-101	0.693	0.074	35.06	Exp1
F10-12-1	0.694	0.083	30.84	Exp1
F10-12-1	0.7	0.084	33.00	Exp1
F10-12-1	0.711	0.082	31.34	Exp1
F10-13-1	0.491	0.181	23.11	Exp1
F10-13-1	0.276	0.504	17.87	Exp1
F10-13-1	0.191	0.6	15.68	Exp1
F10-13-2	0.439	0.225	20.49	Exp1
F10-13-2	0.507	0.185	20.27	Exp1
F10-13-2	0.334	0.492	21.12	Exp1
F10-14-2	0.697	0.086	29.59	Exp1
F10-14-2	0.654	0.1	31.25	Exp1
F10-14-2	0.648	0.104	25.07	Exp1
F10-19-1	0.685	0.091	29.84	Exp1
F10-19-1	0.699	0.083	33.18	Exp1
F10-19-1	0.705	0.081	30.39	Exp1
F11-4	0.672	0.088	31.59	Exp1
F11-4	0.668	0.098	34.09	Exp1
F11-4	0.69	0.083	31.92	Exp1
F12-103	0.681	0.09	30.80	Exp1
F12-103	0.687	0.093	27.46	Exp1
F12-103	0.69	0.089	29.30	Exp1
F13-3	0.609	0.135	37.34	Exp1
F13-3	0.641	0.122	33.80	Exp1
F13-3	0.635	0.12	27.07	Exp1
F13-303	0.694	0.09	32.63	Exp1
F13-303	0.702	0.08	33.78	Exp1
F13-303	0.698	0.087	29.32	Exp1
F13-4	0.664	0.092	37.02	Exp1
F13-4	0.669	0.099	30.15	Exp1
F13-4	0.69	0.082	30.15	Exp1
F13-8	0.702	0.074	39.13	Exp1
F13-8	0.689	0.076	34.13	Exp1
F13-8	0.661	0.1	31.75	Exp1
F14-3	0.688	0.094	24.78	Exp1
F14-3	0.683	0.093	22.91	Exp1
F14-3	0.677	0.094	24.18	Exp1
F15-1	0.609	0.12	33.40	Exp1
F15-1	0.685	0.084	38.61	Exp1
F15-1	0.632	0.111	27.42	Exp1
F16-12	0.586	0.138	26.91	Exp1
F16-12	0.553	0.164	24.90	Exp1
F16-12	0.646	0.118	28.28	Exp1
F2-301	0.661	0.104	28.22	Exp1
F2-301	0.696	0.082	28.37	Exp1
F2-301	0.68	0.09	20.44	Exp1
F2-5	0.676	0.092	33.02	Exp1
F2-5	0.713	0.066	21.38	Exp1
F2-5	0.641	0.103	30.53	Exp1
F3-2	0.39	0.169	37.13	Exp1
F3-2	0.715	0.077	36.33	Exp1
F3-2	0.72	0.078	31.48	Exp1
F3-3	0.7	0.081	31.35	Exp1
F3-3	0.695	0.088	32.00	Exp1
F3-3	0.703	0.083	29.52	Exp1
F3-3	0.692	0.096	28.09	Exp1
F4-105	0.71	0.073	34.27	Exp1
F4-105	0.689	0.086	28.95	Exp1
F4-105	0.704	0.073	34.70	Exp1
F4-2	0.671	0.103	21.74	Exp1
F4-2	0.711	0.078	28.59	Exp1
F4-2	0.666	0.105	23.83	Exp1
F4-4	0.7	0.081	32.27	Exp1
F4-4	0.716	0.075	34.48	Exp1
F4-4	0.694	0.079	27.67	Exp1
F4B-17	0.525	0.128	31.84	Exp1
F4B-17	0.698	0.081	29.24	Exp1
F4B-17	0.715	0.078	29.72	Exp1
F5-7-3	0.679	0.096	30.08	Exp1
F5-7-3	0.664	0.092	27.68	Exp1
F5-7-3	0.666	0.104	25.35	Exp1
F5-7-4	0.679	0.098	30.63	Exp1
F5-7-4	0.704	0.085	34.04	Exp1
F5-7-4	0.652	0.099	26.19	Exp1
F8-303	0.707	0.075	32.87	Exp1
F8-303	0.713	0.077	27.49	Exp1
F8-303	0.661	0.108	29.26	Exp1
F9-3	0.652	0.091	26.28	Exp1
F9-3	0.638	0.105	28.19	Exp1
F9-3	0.677	0.093	25.02	Exp1
F13-8	0.685	0.041	35.53	Exp2
F13-8	0.711	0.04	43.21	Exp2
F13-8	0.714	0.045	32.12	Exp2
F9-3	0.702	0.06	32.25	Exp2
F9-3	0.693	0.066	27.49	Exp2
F9-3	0.695	0.064	29.44	Exp2
F16-12	0.59	0.113	26.03	Exp2
F16-12	0.625	0.115	25.17	Exp2
F16-12	0.692	0.082	28.12	Exp2
F5-1	0.721	0.053	37.83	Exp2
F5-1	0.719	0.059	42.93	Exp2
F5-1	0.728	0.05	40.58	Exp2
F12-121	0.74	0.039	37.17	Exp2
F12-121	0.727	0.048	42.72	Exp2
F12-121	0.733	0.038	38.49	Exp2
F3-2	0.746	0.042	37.18	Exp2
F3-2	0.713	0.077	38.49	Exp2
F3-2	0.73	0.056	41.79	Exp2
F12-118	0.73	0.037	39.10	Exp2
F12-118	0.719	0.054	38.97	Exp2
F12-118	0.667	0.124	28.86	Exp2
F9-2	0.716	0.039	33.28	Exp2
F9-2	0.713	0.05	35.45	Exp2
F9-2	0.714	0.062	31.14	Exp2
F3-3	0.724	0.054	38.51	Exp2
F3-3	0.719	0.06	34.59	Exp2
F3-3	0.711	0.061	32.02	Exp2
F12-107	0.722	0.048	47.20	Exp2
F12-107	0.713	0.076	45.33	Exp2
F12-107	0.724	0.056	45.02	Exp2
F11-10	0.721	0.047	39.53	Exp2
F11-10	0.73	0.056	45.71	Exp2
F11-10	0.73	0.044	40.70	Exp2
F16-5	0.714	0.062	31.08	Exp2
F16-5	0.694	0.077	23.10	Exp2
F16-5	0.719	0.064	33.30	Exp2
F4-2	0.734	0.055	32.77	Exp2
F4-2	0.685	0.102	15.38	Exp2
F4-2	0.719	0.061	26.20	Exp2
F16-15	0.723	0.063	33.59	Exp2
F16-15	0.683	0.097	23.88	Exp2
F16-15	0.725	0.066	34.40	Exp2
F12-102	0.714	0.057	37.84	Exp2
F12-102	0.731	0.051	42.05	Exp2
F12-102	0.727	0.057	46.26	Exp2
F13-6	0.729	0.052	41.56	Exp2
F13-6	0.718	0.065	42.30	Exp2
F13-6	0.729	0.042	39.69	Exp2
F2-6	0.724	0.063	36.30	Exp2
F2-6	0.717	0.063	30.47	Exp2
F2-6	0.69	0.074	23.83	Exp2
F10-12-1	0.653	0.127	28.53	Exp2
F10-12-1	0.687	0.072	26.04	Exp2
F10-12-1	0.703	0.08	10.49	Exp2
F14-1	0.716	0.052	33.58	Exp2
F14-1	0.716	0.059	36.07	Exp2
F14-1	0.714	0.068	34.51	Exp2
F10-1-3	0.614	0.135	23.14	Exp2
F10-1-3	0.421	0.424	8.27	Exp2
F10-1-3	0.55	0.255	10.86	Exp2
F11-4	0.654	0.097	14.73	Exp2
F11-4	0.706	0.06	30.24	Exp2
F11-4	0.664	0.083	17.23	Exp2
F12-110	0.69	0.06	27.07	Exp2
F12-110	0.697	0.063	27.33	Exp2
F12-110	0.721	0.044	31.48	Exp2
F5-7-4	0.725	0.062	39.41	Exp2
F5-7-4	0.672	0.128	31.64	Exp2
F5-7-4	0.696	0.085	32.89	Exp2
F12-116	0.711	0.047	35.64	Exp2
F12-116	0.736	0.036	39.40	Exp2
F12-116	0.733	0.042	45.12	Exp2
F12-112	0.726	0.045	46.53	Exp2
F12-112	0.726	0.047	29.69	Exp2
F12-112	0.725	0.051	40.76	Exp2
F12-104	0.72	0.058	37.24	Exp2
F12-104	0.73	0.048	45.41	Exp2
F12-104	0.724	0.051	32.85	Exp2
F4-101	0.71	0.073	32.44	Exp2
F4-101	0.727	0.052	37.55	Exp2
F4-101	0.715	0.065	36.20	Exp2
F12-119	0.716	0.06	41.22	Exp2
F12-119	0.717	0.063	43.49	Exp2
F12-119	0.724	0.053	48.64	Exp2
F10-19-1	0.694	0.068	30.24	Exp2
F10-19-1	0.691	0.078	31.38	Exp2
F10-19-1	0.707	0.065	32.57	Exp2
F7-B2	0.709	0.06	28.88	Exp2
F7-B2	0.715	0.055	30.43	Exp2
F7-B2	0.677	0.103	18.14	Exp2
F5-3	0.73	0.056	41.95	Exp2
F5-3	0.722	0.059	39.67	Exp2
F5-3	0.718	0.062	41.63	Exp2
