Sample	Replicate	PP2A	NRAMP1	Condition	Ratio	Ratio_N	CNV	IRT1
Col-0	#1-1	192.1	382.5	Control	1.991150442	0.935141928	1	F
Col-0	#1-3	220.2	476.1	Control	2.162125341	1.015440128	1	F
Col-0	#1-4	201.3	422	Control	2.096373572	0.984559872	1	F
Col-0	#1-2	236.2	568.2	Mn	2.405588484	1.129782364	1	F
Col-0	#1-3	237.2	585	Mn	2.466273187	1.158282878	1	F
Col-0	#1-4	176.1	387.8	Mn	2.202157865	1.034241365	1	F
Col-0	#1-2	157.5	404.8	Control	2.57015873	1.207072625	1	F
Col-0	#1-1	241.8	583.6	Mn	2.41356493	1.133528494	1	F
Col-0-irt1	#2-2	271.8	1066.9	Control	3.92531273	1.843519423	1	F
Col-0-irt1	#2-3	305.5	1391.9	Control	4.55613748	2.139785673	1	N
Col-0-irt1	#2-4	262.3	997.1	Control	3.801372474	1.785310999	1	N
Col-0-irt1	#2-1	209	665.6	Mn	3.184688995	1.495686185	1	N
Col-0-irt1	#2-2	70.3	232	Mn	3.300142248	1.549908696	1	N
Col-0-irt1	#2-3	250.9	713.6	Mn	2.84416102	1.335757542	1	N
Col-0-irt1	#2-1	252.4	973.9	Control	3.858557845	1.812168055	1	N
F10-13-1	#7-1	174.3	1241.3	Control	7.121629375	3.344666523	1	N
F10-13-1	#7-2	165.7	1332.5	Control	8.041641521	3.77674936	1	N
F10-13-1	#7-3	106.7	741.3	Control	6.947516401	3.262894529	1	N
F10-13-1	#7-4	257	2122.2	Control	8.257587549	3.878168208	1	N
F10-13-1	#7-1	285.6	1017.5	Mn	3.56267507	1.673206988	1	N
F10-13-1	#7-2	269.8	800.2	Mn	2.965900667	1.392932453	1	N
F10-13-1	#7-3	294.6	1081.1	Mn	3.669721656	1.723481317	1	N
F10-13-1	#7-4	126.4	365.4	Mn	2.890822785	1.357672196	1	N
F13-8	#8-1	343.7	3641.8	Control	10.59586849	4.976339648	3	N
F13-8	#8-2	175.8	1235.7	Control	7.029010239	3.301168033	3	N
F13-8	#8-3	380.8	4179.4	Control	10.97531513	5.154546403	3	N
F13-8	#8-4	274.9	2846	Control	10.35285558	4.862208866	3	N
F13-8	#8-1	138.4	718.4	Mn	5.190751445	2.437831523	3	N
F13-8	#8-2	202.7	836.8	Mn	4.128268377	1.938837352	3	N
F13-8	#8-3	257.5	1244.3	Mn	4.83223301	2.269453678	3	N
F3-2	#9-1	163	2812.1	Control	17.25214724	8.102454688	5	N
F3-2	#9-2	382.7	6406.7	Control	16.74078913	7.862295834	5	N
F3-2	#9-1	202.5	2363.6	Mn	11.67209877	5.481790183	5	N
F3-2	#9-2	276.4	3554.5	Mn	12.85998553	6.039680081	5	N
S1-1	#4-1	238.8	511.1	Control	2.140284757	1.005182719	1	F
S1-1	#4-2	181.5	435.8	Control	2.401101928	1.127675257	1	F
S1-1	#4-3	239.1	467.5	Control	1.95524885	0.918280779	1	F
S1-1	#4-4	254.9	1233	Control	4.837191055	2.271782219	1	F
S1-1	#4-1	250.5	604.9	Mn	2.414770459	1.13409467	1	F
S1-1	#4-2	199.9	565.6	Mn	2.829414707	1.32883195	1	F
S1-1	#4-3	285.1	714	Mn	2.504384427	1.176181785	1	F
S1-1	#4-4	369.3	1095.8	Mn	2.96723531	1.393559266	1	F
S1-1-irt1	#6-1	62	276.3	Control	4.456451613	2.092968299	1	N
S1-1-irt1	#6-2	259.1	2003	Control	7.730605944	3.630671794	1	N
S1-1-irt1	#6-3	88.1	393.5	Control	4.466515323	2.097694711	1	N
S1-1-irt1	#6-1	267.9	1143.6	Mn	4.268756999	2.004817701	1	N
S1-1-irt1	#6-2	237.8	558.4	Mn	2.348191758	1.102826046	1	N
S1-1-irt1	#6-3	157.1	397.9	Mn	2.532781668	1.189518523	1	N
