Accession	Area (cm2)	Greenness	RelativeChlorophyll	NRAMP1copy	Experiment
F1-3	13.79638578	1.543789176	34.5382236	2.696934782	Exp1
F10-1-3	11.07259082	1.472574374	26.28590367	1.857686734	Exp1
F10-10-101	6.346727048	1.453890257	26.23950508	3.178430474	Exp1
F10-11-1	2.890479917	1.427534765	15.74458683	1.789627692	Exp1
F10-11-3	2.33284969	1.390659735	23.37604949	2.69542284	Exp1
F10-12-1	15.93949571	1.495739966	31.34334954	2.603614867	Exp1
F10-13-1	4.267603426	1.417502645	17.86566505	0.955741059	Exp1
F10-13-2	6.291740738	1.441136304	20.49491825	0.989814203	Exp1
F10-14-2	12.61134449	1.473226349	29.59346001	3.020989341	Exp1
F10-18-3	20.52209919	1.52212747	24.83429077	2.812084782	Exp1
F10-19-1	9.246946692	1.484785156	30.38886434	2.725861904	Exp1
F11-10	16.87870134	1.654285778	41.47591692	4.188086525	Exp1
F11-4	10.09960436	1.561804441	31.92222713	1.922421642	Exp1
F12-102	22.29448304	1.59356061	32.07247017	3.304764085	Exp1
F12-103	16.40675606	1.555456879	29.29739284	3.473528908	Exp1
F12-107	20.49719508	1.623533614	34.01679187	4.734971297	Exp1
F12-118	18.25927691	1.574389116	43.63234644	6.065257224	Exp1
F12-121	19.24200309	1.585068059	42.44807777	6.198495452	Exp1
F12-301	7.078932646	1.560586259	42.79496244	4.552699905	Exp1
F13-3	13.6860433	1.569926452	33.80468405	2.249234562	Exp1
F13-302	10.45553593	1.546753166	31.46928856	2.989018491	Exp1
F13-303	14.20027626	1.639808622	32.63367212	3.973219853	Exp1
F13-4	12.85237193	1.541961978	30.15024304	2.336547803	Exp1
F13-7	12.87838563	1.552546262	35.43526293	2.436533587	Exp1
F13-8	10.94042642	1.552172666	34.13168361	2.732574059	Exp1
F14-3	15.64755046	1.504881874	24.18471056	3.751673228	Exp1
F15-1	11.58189227	1.544960302	33.40256297	2.938312034	Exp1
F16-12	9.507453584	1.514157736	26.91117985	2.245868493	Exp1
F16-15	10.16001533	1.491310248	28.20150243	3.087515765	Exp1
F16-5	9.452590561	1.494297206	33.05788776	3.365557931	Exp1
F2-301	12.03928961	1.548681225	28.223597	3.210308393	Exp1
F2-5	6.63386408	1.48177633	30.52585064	2.154771102	Exp1
F3-2	17.28493429	1.606713383	36.32788334	5.805886054	Exp1
F3-3	12.27600197	1.593129686	30.43526293	4.011987264	Exp1
F4-105	16.33413961	1.569320417	34.27308882	3.589003411	Exp1
F4-12	8.468261636	1.496440557	27.6955369	2.019394069	Exp1
F4-2	9.000124735	1.464380888	23.83119753	1.870655017	Exp1
