Sample	Population	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn	NRAMP1copy
F1-3	Fogo	69.3785	34891.856	0.046	0.067	19.417	53.7945	41462.2695	1.085	3592.9765	562.7925	0.512	407.6275	0.1045	12013.0145	0.597	8.605	12060.854	37.4405	83.399	2.696934782
F10-1-3	Fogo	60.319	28719.315	0.06	0.057	18.426	45.78	50857.056	0.911	3230.423	431.795	0.402	235.017	0.096	12359.451	0.546	10.892	11155.821	19.595	69.228	1.857686734
F10-10-101	Fogo	69.0215	30219.2825	0.233	0.0725	20.295	57.7815	50361.2655	1.2305	3413.319	442.215	0.443	622.5595	0.2585	12082.513	1.022	8.9625	10828.2425	22.611	163.6395	3.178430474
F10-10-102	Fogo	63.026	26482.13	0.118	0.075	16.688	46.808	51809.705	1.178	3183.854	506.59	0.369	431.228	0.195	12218.513	1.022	10.6	11496.36	19.711	84.475	3.012510126
F10-10-201	Fogo	68.061	30416.654	0.1105	0.0695	19.3895	46.613	52479.066	1.078	3462.051	492.196	0.37	497.853	0.1115	11526.105	1.0925	10.1355	10861.729	21.3835	80.1305	2.900804841
F10-10-202	Fogo	62.805	29142.0895	0.046	0.069	21.027	48.8445	51838.7185	0.9985	3349.592	453.43	0.451	335.059	0.55	11735.0465	0.4525	9.7105	11664.671	20.171	112.1885	2.275913961
F10-12-1	Fogo	63.184	29752.933	0.194	0.065	20.771	53.9335	51493.8845	0.949	3494.8825	510.965	0.428	325.6695	0.171	12080.7745	1.4275	9.628	10328.624	20.2355	128.895	2.603614867
F10-18-1	Fogo	68.595	25785.839	0.058	0.061	16.323	45.473	48539.234	0.732	3076.164	367.264	0.346	414.798	0.095	12717.918	0.839	10.342	12785.419	28.194	150.31	2.979834442
F10-18-3	Fogo	76.404	29278.683	0.038	0.07	15.994	51.521	50968.163	0.889	3021.42	406.455	0.65	455.058	0.099	11935.24	0.46	10.435	11893.937	29.358	66.506	2.812084782
F10-18-4	Fogo	86.64	27585.913	0.093	0.07	20.42	56.489	51364.646	1.215	3351.106	481.405	0.398	476.752	0.202	12390.537	1.173	10.535	10606.838	32.205	73.596	2.654437409
F10-19-1	Fogo	58.343	29313.047	0.072	0.072	20.668	51.041	50961.735	1.004	3281.98	498.441	0.481	350.432	0.18	12723.71	1.053	10.213	10995.891	21.412	84.294	2.725861904
F10-9-202	Fogo	59.466	28726.406	0.0505	0.0675	21.2415	51.5925	50218.0815	0.7805	3452.6975	462.2485	0.558	338.334	0.094	12393.8065	0.6725	9.3245	11360.1255	24.516	97.1775	2.709298291
F11-10	Fogo	61.419	28616.749	0.061	0.045	17.762	54.717	47166.343	0.911	2881.015	495.603	0.428	463.925	0.09	12122.763	0.553	10.351	11734.152	30.364	74.703	4.188086525
F11-4	Fogo	101.614	33649.7395	0.0705	0.058	22.895	51.5555	46908.857	1.1935	3396.9465	627.2	0.381	478.182	0.0965	11697.0255	0.4715	9.5445	11047.3945	24.9055	91.6065	1.922421642
F11-6	Fogo	52.37	26519.634	0.051	0.058	19.48	56.717	45241.856	0.849	3189.944	505.438	0.351	414.969	0.08	12261.936	0.273	9.563	12993.791	30.125	90.867	4.54424336
F12-102	Fogo	62.705	28524.742	0.04	0.063	21.2	57.419	47740.408	0.991	2994.099	420.053	0.438	512.517	0.13	12700.39	0.396	8.591	12507.335	31.011	105.812	3.304764085
F12-103	Fogo	69.89	29394.182	0.126	0.053	19.888	57.435	49320.309	1.121	3465.524	594.771	0.434	459.849	0.097	12252.363	0.687	10.018	10441.025	32.555	87.957	3.473528908
F12-107	Fogo	54.751	30350.328	0.064	0.08	20.893	58.996	46167.397	1.149	3054.437	473.029	0.327	637.888	0.106	11767.454	0.879	8.672	12094.442	27.801	135.625	4.734971297
F12-109	Fogo	57.4295	28233.107	0.0735	0.07	18.5715	61.7	48267.1555	1.029	3058.72	488.414	0.4905	440.8965	0.105	12471.8165	0.719	9.4835	11738.501	30.8525	189.5575	4.797520868
F12-111	Fogo	89.723	33046.211	0.094	0.075	21.887	58.309	47207.54	1.276	3379.581	615.562	0.452	539.832	0.156	11691.301	1.506	8.014	12318.441	34.975	93.37	3.021796976
F12-112	Fogo	58.008	29349.844	0.0855	0.067	19.466	55.7235	45124.5175	0.9755	3141.061	486.703	0.393	705.0615	0.202	11728.794	1.376	9.419	13132.054	31.4105	142.0385	4.500531037
F12-116	Fogo	70.2435	27745.897	0.0505	0.057	18.899	58.6525	45385.5125	0.9315	3069.0145	482.8405	0.451	482.1125	0.061	12144.7545	0.2665	9.719	12613.8455	28.8855	81.4975	3.81335783
F12-117	Fogo	71.088	28533.754	0.097	0.0615	19.6015	58.9495	46658.278	1.0485	3203.1695	504.3615	0.3735	621.466	0.1585	12682.2345	1.6265	8.26	12748.835	25.8185	124.6685	3.92387879
F12-118	Fogo	51.8075	32197.2925	0.09	0.0585	20.0755	52.8325	46684.8045	0.9485	3109.5805	477.1785	0.4335	447.0015	0.106	11913.912	0.769	10.197	11547.816	28.4445	177.6655	6.065257224
F12-119	Fogo	50.821	29602.861	0.07	0.072	19.619	52.804	44246.567	1.003	3340.08	446.455	0.333	516.973	0.111	12011.194	0.895	8.847	12424.563	29.584	95.976	7.310395988
F12-121	Fogo	55.856	28330.058	0.062	0.062	24.4	49.297	47847.808	1.097	3233.469	455.592	0.346	422.537	0.122	12292.397	0.733	9.134	12391.585	31.679	106.678	6.198495452
F12-201	Fogo	63.511	27993.348	0.077	0.056	18.822	62.724	49366.863	0.981	2930.832	525.485	0.34	524.944	0.097	12576.18	0.82	10.19	11102.965	31.843	97.201	4.980798232
F13-10	Fogo	74.693	30062.52	0.055	0.067	18.85	49.653	46388.104	1.16	3331.358	501.784	0.5	368.835	0.112	11679.797	0.484	11.113	11830.432	24.317	101.463	1.914163892
F13-11	Fogo	103.609	29422.9395	0.1095	0.0675	18.125	46.582	51227.3395	1.125	3425.043	514.537	0.284	380.777	0.0705	11506.6445	0.569	9.808	11862.0075	26.2605	216.6415	2.516320076
F13-301	Fogo	61.081	30244.054	0.056	0.069	18.198	52.027	48162.95	1.183	3446.667	432.757	0.287	424.556	0.074	11476.171	0.415	9.054	11261.717	32.509	97.367	2.9258136
F13-302	Fogo	61.094	31090.208	0.074	0.057	17.162	54.181	46636.81	1.055	3279.334	494.223	0.271	443.022	0.102	11232.261	0.678	11.115	10716.467	25.292	66.414	2.989018491
F13-303	Fogo	57.2115	30934.505	0.0715	0.053	16.82	51.9715	46945.3025	1.0325	3366.828	469.135	0.5395	600.6225	0.1585	11730.1505	0.4285	10.3355	11065.913	34.1285	75.9585	3.973219853
F13-4	Fogo	87.498	28361.959	0.048	0.06	19.58	55.712	46551.667	0.828	3300.854	464.432	0.346	355.678	0.099	11415.55	0.629	9.717	11821.769	20.93	99.123	2.336547803
F13-5	Fogo	72.4675	32583.677	0.113	0.0925	23.246	45.937	50313.381	1.244	3707.8995	478.1415	0.32	488.5755	0.1295	11543.15	0.822	9.468	10715.629	20.99	379.45	2.311737889
F13-6	Fogo	63.2415	27542.83	0.065	0.0575	19.7675	64.043	48410.1035	0.982	3150.3685	438.3925	0.384	609.637	0.157	11913.001	0.5815	9.139	12016.4945	32.0935	89.6405	4.732364949
F13-8	Fogo	97.7225	29064.932	0.121	0.058	19.766	53.9205	51052.486	1.124	3162.386	485.838	0.3375	688.362	0.1845	11540.166	1.1745	9.9465	11647.575	29.4945	167.014	2.732574059
F13-T1-0217-209	Fogo	116.217	31862.332	0.063	0.067	21.074	51.58	46488.477	1.141	3613.747	468.98	0.524	475.485	0.081	12201.103	0.368	9.661	13044.952	32.522	118.457	2.891874231
F13-T1-0217-210	Fogo	107.6285	32007.901	0.052	0.051	20.7655	52.671	47480.803	1.0435	3376.1655	503.7895	0.4635	398.3345	0.108	11778.821	0.201	10.2875	10532.657	28.6245	92.217	2.798252157
F13-T1-0217-221	Fogo	64.611	34641.4205	0.0695	0.0775	20.531	53.184	48316.1685	1.147	3445.315	557.2175	0.4005	412.343	0.115	12099.3445	0.802	8.7205	10635.5445	22.419	118.6725	3.482910469
F13-T1-0217-223	Fogo	56.233	27841.755	0.051	0.059	21.064	45.493	49802.214	1	3381.933	433.473	0.493	385.154	0.089	12221.043	0.411	9.728	12526.669	26.943	90.838	2.190182906
F13-T1-1115-12	Fogo	94.511	32215.558	0.05	0.06	17.045	50.34	49457.754	1.02	3425.401	530.126	0.328	396.622	0.061	11020.673	0.31	9.945	10828.869	23.53	94.946	2.584607152
F13-T1-1115-14	Fogo	91.2785	31655.0765	0.049	0.058	22.209	51.2115	45342.89	1.012	3725.4115	570.745	0.376	297.6265	0.116	11437.9375	0.215	8.6095	12239.953	20.6095	84.721	2.427116811
F13-T1-1115-26	Fogo	60.94	30731.069	0.0625	0.067	17.9955	58.8855	50058.832	0.87	3252.924	526.8235	0.382	492.0805	0.1505	11399.5485	0.476	9.7745	11277.418	27.243	111.196	2.968698123
F13-T1-1115-7	Fogo	81.0405	29028.5835	0.087	0.0715	21.355	52.5085	47198.6495	0.9245	3255.359	494.5555	0.526	388.3265	0.0895	12478.479	0.6125	10.504	11709.75	27.931	208.171	2.750817931
F14-1	Fogo	54.201	33631.0305	0.0305	0.0655	16.96	51.4485	45779.3035	0.9935	3532.5305	447.131	0.414	466.1705	0.0835	11961.5085	0.4545	9.189	11070.0945	35.558	75.916	3.136423289
F14-2	Fogo	59.7185	33173.2085	0.072	0.074	17.6575	52.858	46547.4475	1.0925	3418.4225	519.6485	0.4735	379.9935	0.0795	12301.6725	0.7335	9.6245	10145.1005	33.457	126.0915	3.528054806
F15-1	Fogo	65.269	32241.496	0.063	0.064	24.595	53.151	50159.676	1.153	3385.248	539.504	0.578	430.953	0.111	12013.848	0.624	9.652	10814.317	22.034	80.679	2.938312034
F15-2	Fogo	60.624	30393.811	0.048	0.062	24.926	50.233	50389.702	0.973	3286.398	513.395	0.615	382.478	0.111	11670.696	0.368	10.434	10274.352	32.534	91.755	2.739767835
F15-3	Fogo	60.271	29063.001	0.051	0.061	19.43	53.306	50359.882	1.084	3260.523	521.53	0.43	425.697	0.106	11670.058	0.498	9.916	10747.4	25.979	140.225	2.547366989
F15-4	Fogo	55.883	26512.809	0.062	0.045	23.358	53.369	50690.711	0.886	3124.467	460.568	0.394	281.278	0.075	12183.564	0.621	10.472	12236.434	19.975	94.687	3.104428007
F16-1	Fogo	65.931	33624.619	0.0885	0.0785	20.656	48.964	46004.844	1.1505	3881.9285	529.2465	0.4375	371.2185	0.1025	11059.3325	0.7185	8.4735	11800.0895	24.0525	181.716	1.888376156
F16-11	Fogo	81.9555	29316.5845	0.076	0.058	18.921	57.0645	44748.9175	0.996	3381.64	419.999	0.458	512.763	0.093	12286.9925	0.7535	8.784	12467.971	31.8585	82.7385	3.060926256
F16-12	Fogo	58.325	27774.472	0.082	0.065	20.444	55.204	47296.203	1.13	3401.58	360.094	0.418	1048.376	0.295	10979.049	1.008	9.152	11973.944	23.455	71.812	2.245868493
F16-13	Fogo	57.711	31371.632	0.07	0.077	19.846	52.915	43629.024	1.035	3439.945	501.893	0.557	458.33	0.123	11772.886	0.62	7.581	13535.339	33.975	74.632	2.546550214
F16-14	Fogo	80.835	30664.483	0.089	0.065	19.816	45.3415	42240.294	0.9905	3722.747	469.1065	0.379	354.554	0.0935	12649.758	0.6545	8.917	12645.263	33.5495	303.2255	2.201925024
F16-15	Fogo	86.0495	32720.0025	0.0565	0.0685	20.879	53.0555	41208.784	1.1945	3634.9885	506.377	0.47	502.0415	0.089	13214.622	0.457	8.152	11840.5265	35.6585	89.3365	3.087515765
