x	0	1	2	3	4	5	6	7	8	9	10	11	12
0	14236510	66	63	49	2	6	1	5	0	11	12	0	257
1	529	0	0	1	0	0	0	0	0	0	0	0	1
2	280	0	0	0	0	0	0	0	0	0	0	0	5
3	112	0	0	0	0	0	0	0	0	0	0	0	0
4	57	0	0	0	0	0	0	0	0	0	0	0	1
5	76	0	0	0	0	0	0	0	0	0	0	0	0
6	112	0	0	0	0	0	0	0	0	0	0	0	2
7	103	0	0	0	0	0	0	0	0	0	0	0	1
8	68	0	0	0	0	0	0	0	0	0	0	0	2
9	33	0	0	0	0	0	0	0	0	0	0	0	1
10	19	0	0	0	0	0	0	0	0	0	0	0	0
11	59	0	0	0	0	0	0	0	0	0	0	0	1
12	97	0	0	1	0	0	0	0	0	0	0	0	3
13	128	0	0	0	0	0	0	0	0	0	0	0	3
14	66	0	0	0	0	0	0	0	0	0	0	0	4
15	46	0	0	0	0	0	0	0	0	0	0	0	5
16	31	0	1	0	0	0	0	0	0	0	0	0	0
17	22	0	0	0	0	0	0	0	0	0	0	0	1
18	31	0	0	0	0	0	0	0	0	0	0	0	1
19	35	0	0	0	0	0	0	0	0	0	0	0	1
20	25	0	0	0	0	0	0	0	0	0	0	0	2
21	10	0	0	0	0	0	0	0	0	0	0	0	0
22	3	0	0	0	0	0	0	0	0	0	0	0	0
23	6	0	0	0	0	0	0	0	0	0	0	0	0
24	2	0	0	0	0	0	0	0	0	0	0	0	0
25	4	0	0	0	0	0	0	0	0	0	0	0	0
26	2	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	2
28	10	0	0	0	0	0	0	0	0	0	0	0	1
29	7	0	0	0	0	0	0	0	0	0	0	0	1
30	11	0	0	0	0	0	0	0	0	0	0	0	0
31	5	0	0	0	0	0	0	0	0	0	0	0	1
32	13	0	0	0	0	0	0	0	0	0	0	0	3
33	3	0	0	0	0	0	0	0	0	0	0	0	0
34	3	0	0	0	0	0	0	0	0	0	0	1	6919
