Population	Island	As	Al	B	Ba	Cs	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Rb	S	Se	Sr	Zn
F1	Fogo	0.87	630.63	78.38	414.78	0.1	149.3	0.03	1.73	11.96	989.27	44.67	0.38	40.47	72.95	0.73	53.26	1.04	0.18	99.84	5.45	0.94	2860.97	0.08
F10	Fogo	2.4749999999999996	3005.045	85.03999999999999	27.165	0.06	49.65	0.13	1.02	25.16	2252.1549999999997	39.400000000000006	1.645	7.385	65.235	2.135	28.09	1.97	0.785	15.184999999999999	5.1	2.8200000000000003	408.02	3.085
F13	Fogo	0.9	10717.2	32.82	82.15	0.02	3.69	0.04	1.91	46.69	2969.7	10.7	0.32	0.95	127.21	1.18	14.38	1.47	0.97	11.51	0.0	0.83	114.71	2.16
F15	Fogo	1.74	5100.32	119.42	407.42	0.08	128.97	0.07	3.33	83.45	2900.04	66.64	0.62	42.12	108.12	2.2	49.66	2.59	0.82	62.71	8.87	3.3	3174.1	3.91
F16	Fogo	0.5	1411.82	77.92	111.13	0.05	52.1	0.03	0.94	7.28	1020.61	32.83	0.27	11.46	36.38	1.37	11.91	1.02	0.32	20.5	2.11	1.71	866.13	0.0
F2	Fogo	0.69	681.355	123.44	612.63	0.095	261.655	0.05500000000000001	1.3599999999999999	11.57	596.05	81.43	0.33999999999999997	66.50999999999999	64.66	1.1800000000000002	50.849999999999994	1.425	0.27	206.49	14.08	1.275	4126.615	0.75
F3	Fogo	0.735	323.565	63.875	659.77	0.09	262.435	0.045	0.765	11.535	194.355	50.86	0.275	69.25	22.905	0.5449999999999999	41.325	1.075	0.275	121.025	8.93	1.46	4634.305	0.0
F4	Fogo	0.4	2315.755	43.65	128.845	0.045	60.959999999999994	0.02	1.79	10.955	1887.48	23.48	0.33	16.119999999999997	61.445	0.46499999999999997	12.725000000000001	0.9400000000000001	0.195	39.864999999999995	2.3850000000000002	0.9850000000000001	1257.58	0.205
F5	Fogo	0.39	2625.34	53.0	56.775	0.08499999999999999	56.614999999999995	0.01	1.1600000000000001	11.385000000000002	1337.3	43.675	0.16999999999999998	13.235	76.675	1.0	30.925	0.74	0.25	57.435	3.8449999999999998	0.635	1906.165	0.0
F7	Fogo	0.34	298.18	56.24	762.53	0.07	220.61	0.04	0.75	10.71	179.73	68.82	0.17	68.87	41.5	0.63	59.7	0.54	0.19	100.67	7.0	0.36	8253.3	0.0
F8	Fogo	0.47	368.93	124.49	504.63	0.23	172.02	0.05	0.54	6.95	201.63	66.67	0.12	39.69	26.48	0.69	32.18	0.61	0.21	203.78	9.08	0.93	3087.77	0.0
F9	Fogo	1.92	742.62	155.06	6096.56	0.32	482.74	0.07	2.02	22.14	320.46	177.73	0.4	94.03	185.31	0.41	45.68	1.1	0.48	251.35	10.59	1.34	16484.28	1.59
S1	SantoAntao	3.39	10130.78	242.59	438.34	0.47	67.08	0.26	10.63	68.34	6543.37	52.77	0.28	28.79	319.91	1.91	99.37	4.59	1.98	90.68	6.13	2.0	1814.48	18.23
S10	SantoAntao	0.72	1757.285	78.725	1748.265	0.07	81.58500000000001	0.035	1.45	11.024999999999999	1659.94	25.175	0.435	35.769999999999996	79.58000000000001	0.175	25.1	1.63	0.5549999999999999	33.849999999999994	1.775	1.07	1894.455	0.875
S11	SantoAntao	0.31	601.94	82.05	123.12	0.01	58.31	0.01	0.94	7.89	458.07	18.45	0.24	30.79	33.5	0.57	53.35	1.05	0.21	12.02	3.56	0.98	1124.67	0.0
S15	SantoAntao	0.92	3944.3	112.5	181.35	0.06	58.91	0.04	6.59	43.47	3156.17	26.31	0.4	24.71	314.07	1.7	106.85	2.94	0.58	19.2	6.81	1.56	1302.79	5.21
S16	SantoAntao	2.62	5940.17	112.25	210.18	0.11	30.87	0.11	4.82	34.83	5370.0	20.07	0.56	11.59	163.09	4.71	73.96	3.29	1.99	34.74	0.0	5.37	605.48	6.53
S17	SantoAntao	2.505	13266.09	83.85	114.785	0.22499999999999998	38.485	0.11	18.695	92.895	14636.775	30.465	0.655	8.805	653.63	2.44	51.58	9.26	2.07	24.5	1.655	2.83	730.645	17.725
S18	SantoAntao	2.6849999999999996	1815.56	103.935	39.985	0.065	79.08	0.060000000000000005	5.84	56.459999999999994	1398.095	36.965	0.38	31.779999999999998	225.345	1.595	73.51	13.049999999999999	1.33	43.825	7.01	1.845	739.7249999999999	1.3099999999999998
S19	SantoAntao	0.605	3461.64	94.21000000000001	416.23	0.065	105.205	0.03	9.094999999999999	20.884999999999998	4708.26	33.754999999999995	0.115	46.595	355.84	0.075	43.6	2.32	0.44	39.14	2.555	0.745	4406.195	7.15
S3	SantoAntao	0.59	2131.71	70.46	804.45	0.07	46.24	0.02	1.88	7.12	1304.15	13.62	0.28	16.19	108.58	0.18	39.05	1.47	0.39	21.96	0.62	1.57	2388.73	0.45
S5	SantoAntao	1.26	7400.62	38.1	220.59	0.12	39.77	0.04	8.97	45.74	8912.1	16.97	0.52	8.3	256.46	1.04	51.2	3.85	0.94	19.16	3.9	0.51	664.28	12.39
S7	SantoAntao	2.575	7668.295	71.06	188.73000000000002	0.29500000000000004	15.145	0.10500000000000001	6.369999999999999	28.0	7836.99	15.469999999999999	0.255	2.76	229.23000000000002	1.69	23.33	2.19	2.54	26.4	0.0	1.25	468.96999999999997	6.625
S8	SantoAntao	0.86	10089.83	95.8	445.64	0.11	19.0	0.04	11.47	25.88	12335.49	3.43	0.62	7.51	541.04	0.41	50.35	2.86	0.36	3.99	0.0	1.12	477.51	12.08
