Sample	Soil	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn
F13-8	Potting mix	79.558	23047.77	0.104	0.067	9.373	47.541	46152.53	0.837	2851.41	193.845	4.422	430.47	0.035	10688.65	1.178	17.581	10558.57	21.933	88.793
F13-8	Potting mix	85.663	22897.15	0.076	0.051	8.998	48.745	42133.05	0.852	2802.87	188.293	4.052	458.13	0.06	10202.11	0.406	17.73	10676.92	26.504	122.128
F13-8	Potting mix	77.649	22315	0.091	0.048	9.219	46.739	41876.32	0.82	2837.41	211.07	3.671	366.16	0.378	10486.79	0.491	17.183	11281.74	25.658	86.39
F13-8	Potting mix	75.188	19829.97	0.242	0.052	10.994	55.619	42053.36	0.717	2707.81	211.565	5.081	313.76	0.049	10998.58	0.408	17.692	12184.59	21.733	92.299
F13-8	Potting mix	78.907	19800.27	0.079	0.05	9.632	46.887	44669.82	0.827	2864.51	214.159	5.603	339.87	0.043	10437.1	0.23	18.261	11516.29	23.34	90.4
F13-8	Potting mix	72.989	20478.39	0.129	0.039	10.125	53.036	44454.59	0.676	2925.47	229.701	4.971	274.84	0.033	11077.64	0.114	16.71	11903.86	21.543	83.299
S1-1	Potting mix	49.014	22528.52	0.482	0.085	9.626	114.418	41974.12	0.836	2373.29	135.498	6.627	469.17	0.058	12153.67	0.213	14.959	12406.47	26.437	131.533
S1-1	Potting mix	45.384	20799.31	0.357	0.071	10.226	136.101	43071.09	0.728	2015.46	170.98	9.432	313.77	0.046	12693.29	0.241	15.273	14659.88	23.474	122.716
S1-1	Potting mix	42.541	21132.83	0.535	0.081	9.524	141.227	43771.4	0.745	2297.91	155.989	7.559	432.23	0.053	11930.21	0.854	15.532	14077.5	24.099	136.636
S1-1	Potting mix	59.864	26521.66	0.507	0.094	8.137	135.703	42880.96	0.839	2815.29	166.722	8.913	577.43	0.062	12307.03	1.049	14.315	11095.47	24.287	348.733
S1-1	Potting mix	56.922	28049.5	0.744	0.085	8.259	122.586	34842.83	1.042	3103.45	129.625	4.445	608.13	0.084	10826.23	0.429	11.933	11086.63	32.011	115.936
S1-1	Potting mix	46.702	24451.3	0.747	0.081	9.086	143.562	41471.7	0.788	2626.6	173.244	6.898	506.49	0.048	11741.72	0.203	13.452	12432.01	26.984	142.551
