Chromosome	Topology	Weights
Chr1	Topology1	0.2772
Chr1	Topology1	0.2766
Chr1	Topology1	0.281
Chr1	Topology1	0.2922
Chr1	Topology1	0.2776
Chr1	Topology1	0.274
Chr1	Topology1	0.278
Chr1	Topology1	0.2779
Chr1	Topology1	0.2787
Chr1	Topology1	0.2781
Chr1	Topology1	0.2658
Chr1	Topology1	0.2788
Chr1	Topology1	0.2752
Chr1	Topology1	0.2765
Chr1	Topology1	0.2742
Chr1	Topology1	0.2778
Chr1	Topology1	0.2805
Chr1	Topology1	0.2813
Chr1	Topology1	0.2782
Chr1	Topology1	0.2745
Chr1	Topology1	0.2766
Chr1	Topology1	0.2704
Chr1	Topology1	0.2768
Chr1	Topology1	0.2832
Chr1	Topology1	0.2767
Chr1	Topology1	0.2816
Chr1	Topology1	0.2741
Chr1	Topology1	0.2799
Chr1	Topology1	0.2786
Chr1	Topology1	0.281
Chr1	Topology1	0.2728
Chr1	Topology1	0.2761
Chr1	Topology1	0.2828
Chr1	Topology1	0.2777
Chr1	Topology1	0.2717
Chr1	Topology1	0.2802
Chr1	Topology1	0.2798
Chr1	Topology1	0.2855
Chr1	Topology1	0.2779
Chr1	Topology1	0.276
Chr1	Topology1	0.2827
Chr1	Topology1	0.2793
Chr1	Topology1	0.2699
Chr1	Topology1	0.2778
Chr1	Topology1	0.2751
Chr1	Topology1	0.2672
Chr1	Topology1	0.2744
Chr1	Topology1	0.2777
Chr1	Topology1	0.23930192
Chr1	Topology1	0.2769
Chr1	Topology1	0.2802
Chr1	Topology1	0.271
Chr1	Topology1	0.2722
Chr1	Topology1	0.2884
Chr1	Topology1	0.284
Chr1	Topology1	0.2737
Chr1	Topology1	0.2714
Chr1	Topology1	0.2743
Chr1	Topology1	0.2825
Chr1	Topology1	0.3245
Chr1	Topology1	0.2835
Chr1	Topology1	0.2899
Chr1	Topology1	0.2767
Chr1	Topology1	0.2709
Chr1	Topology1	0.2749
Chr1	Topology1	0.2726
Chr1	Topology1	0.2755
Chr1	Topology1	0.2822
Chr1	Topology1	0.2792
Chr1	Topology1	0.2766
Chr1	Topology1	0.2802
Chr1	Topology1	0.2741
Chr1	Topology1	0.2815
Chr1	Topology1	0.2768
Chr1	Topology1	0.2888
Chr1	Topology1	0.2785
Chr1	Topology1	0.2799
Chr1	Topology1	0.2792
Chr1	Topology1	0.2774
Chr1	Topology1	0.2751
Chr1	Topology1	0.2794
Chr1	Topology1	0.277
Chr1	Topology1	0.275
Chr1	Topology1	0.2768
Chr1	Topology1	0.2772
Chr1	Topology1	0.2739
Chr1	Topology1	0.2769
Chr1	Topology1	0.2851
Chr1	Topology1	0.2763
Chr1	Topology1	0.2746
Chr1	Topology1	0.2818
Chr1	Topology1	0.2768
Chr1	Topology1	0.2778
