Accession	Start	End
F10-1-3	30369728	30383131
F10-1-4	30369728	30383131
F10-10-101	30369728	30383131
F10-10-102	30369728	30383131
F10-10-201	30369728	30383131
F10-10-202	30369728	30383131
F10-11-1	30369728	30383131
F10-11-2	30369728	30383131
F10-11-3	30369728	30383131
F10-12-1	30369728	30383131
F10-14-2	30369728	30383131
F10-15-2	30369728	30383131
F10-18-1	30369728	30383131
F10-18-3	30369728	30383131
F10-18-4	30369728	30383131
F10-19-1	30369728	30383131
F10-9-202	30369728	30383131
F11-10	30369728	30383131
F11-6	30369728	30383131
F12-102	30369728	30383131
F12-104	30369728	30383131
F12-107	30369728	30383131
F12-109	30369728	30383131
F12-112	30369728	30383131
F12-115	30369728	30383131
F12-117	30369728	30383131
F12-118	30369728	30383131
F12-119	30369728	30383131
F12-121	30369728	30383131
F12-201	30369728	30383131
F13-11	30369728	30383131
F13-6	30369728	30383131
F13-7	30369728	30383131
F13-8	30369728	30383131
F13-T1-0217-209	30369728	30383131
F13-T1-0217-210	30369728	30383131
F13-T1-1115-12	30369728	30383131
F13-T1-1115-26	30369728	30383131
F13-T1-1115-7	30369728	30383131
F14-1	30369728	30383131
F14-2	30369728	30383131
F14-3	30369728	30383131
F15-1	30369728	30383131
F15-2	30369728	30383131
F15-3	30369728	30383131
F15-4	30369728	30383131
F1-201	30363708	30379590
F1-203	30363708	30379590
F1-3	30363708	30379590
F1-7	30363708	30379590
F11-4	30363708	30379590
F12-103	30363708	30379590
F12-110	30363708	30379590
F12-111	30363708	30379590
F12-116	30363708	30379590
F12-301	30363708	30379590
F13-10	30363708	30379590
F13-3	30363708	30379590
F13-301	30363708	30379590
F13-302	30363708	30379590
F13-303	30363708	30379590
F13-4	30363708	30379590
F13-5	30363708	30379590
F13-T1-0217-221	30363708	30379590
F13-T1-0217-223	30363708	30379590
F13-T1-1115-14	30363708	30379590
F16-1	30363708	30379590
F16-11	30363708	30379590
F16-12	30363708	30379590
F16-13	30363708	30379590
F16-14	30363708	30379590
F16-15	30363708	30379590
F16-16	30363708	30379590
F16-23	30363708	30379590
F16-24	30363708	30379590
F16-25	30363708	30379590
F16-3	30363708	30379590
F16-5	30363708	30379590
F16-6	30363708	30379590
F16-7	30363708	30379590
F2-301	30363708	30379590
F2-303	30363708	30379590
F2-4	30363708	30379590
F2-5	30363708	30379590
F2-6	30363708	30379590
F2-SS1	30363708	30379590
F3-1	30363708	30379590
F3-2	30363708	30379590
F3-3	30363708	30379590
F3-SS2	30363708	30379590
F3-T1-1115-12	30363708	30379590
F3-T1-1115-2	30363708	30379590
F3-T1-1115-20	30363708	30379590
F3-T1-1115-28	30363708	30379590
F3-T1-1115-3	30363708	30379590
F3-T2-1115-13	30363708	30379590
F3-T2-1115-8	30363708	30379590
F4-101	30363708	30379590
F4-102	30363708	30379590
F4-103	30363708	30379590
F4-104	30363708	30379590
F4-105	30363708	30379590
F4-106	30363708	30379590
F4-12	30363708	30379590
F4-13	30363708	30379590
F4-4	30363708	30379590
F4B-16	30363708	30379590
F4B-17	30363708	30379590
F5-1	30363708	30379590
F5-3	30363708	30379590
F5-7-3	30363708	30379590
F5-7-4	30363708	30379590
F5-7S1	30363708	30379590
F5-8	30363708	30379590
F5-SS1	30363708	30379590
F5-T1-1115-10	30363708	30379590
F5-T1-1115-25	30363708	30379590
F5-T1-1115-55	30363708	30379590
F7-11T	30363708	30379590
F7-19b	30363708	30379590
F7-4b	30363708	30379590
F7-6T	30363708	30379590
F7-7B	30363708	30379590
F7-B12	30363708	30379590
F7-B2	30363708	30379590
F7-B8	30363708	30379590
F7-R3	30363708	30379590
F7-S1	30363708	30379590
F7-S10	30363708	30379590
F7-S4	30363708	30379590
F7-T14	30363708	30379590
F7-T5	30363708	30379590
F8-2	30363708	30379590
F8-301	30363708	30379590
F8-302	30363708	30379590
F8-5	30363708	30379590
F8-6	30363708	30379590
F8-7	30363708	30379590
F8B-1	30363708	30379590
F9-2	30363708	30379590
F9-3	30363708	30379590
F4-2	30368394	30394114
F10-13-1	Na	Na
F10-13-2	Na	Na
F10-13-3	Na	Na
F10-13-4	Na	Na
