Chromosome	Window	Freq_Mean	Freq_Median	STD
chr1	5000	0.465101737	0.456439394	0.113369706
chr1	10000	0.46605634	0.458333333	0.113847804
chr1	15000	0.465432593	0.458333333	0.112990329
chr1	20000	0.466955128	0.458333333	0.11113279
chr1	25000	0.466890126	0.458333333	0.112698753
chr1	30000	0.466246784	0.458333333	0.113438622
chr1	35000	0.466568784	0.458333333	0.113214022
chr1	40000	0.464275314	0.456439394	0.111514394
chr1	45000	0.464275314	0.456439394	0.111514394
chr1	50000	0.464431209	0.456439394	0.111570214
chr1	55000	0.466156855	0.458333333	0.11235759
chr1	60000	0.468796688	0.461538462	0.112679586
chr1	65000	0.468076064	0.458333333	0.112616742
chr1	70000	0.470517024	0.461538462	0.111971563
chr1	75000	0.473715397	0.468984962	0.113795068
chr1	80000	0.474754263	0.473684211	0.114278446
chr1	85000	0.473632479	0.473684211	0.110366012
chr1	90000	0.473407639	0.468984962	0.111296202
chr1	95000	0.470635874	0.461538462	0.110128037
chr1	100000	0.47253901	0.464285714	0.108742718
chr1	105000	0.46920675	0.461538462	0.109850688
chr1	110000	0.466797245	0.458333333	0.11453082
chr1	115000	0.466116732	0.458333333	0.114591003
chr1	120000	0.46590066	0.458333333	0.116383053
chr1	125000	0.465828847	0.456439394	0.115954889
chr1	130000	0.462969329	0.45	0.117339455
chr1	135000	0.459405393	0.45	0.117203633
chr1	140000	0.459516587	0.45	0.117629076
chr1	145000	0.46085157	0.45	0.11503434
chr1	150000	0.465145432	0.454545455	0.11464985
chr1	155000	0.464018898	0.45	0.113627367
chr1	160000	0.465556805	0.45	0.114193732
chr1	165000	0.460695986	0.45	0.112137965
chr1	170000	0.458838151	0.45	0.113701523
chr1	175000	0.455901302	0.45	0.114489893
chr1	180000	0.457739767	0.45	0.113717015
chr1	185000	0.457593083	0.45	0.113591695
chr1	190000	0.45847162	0.45	0.113600847
chr1	195000	0.458977108	0.45	0.116959505
chr1	200000	0.457875494	0.45	0.12320442
chr1	205000	0.461641776	0.45	0.123117732
chr1	210000	0.461780487	0.45	0.123867263
chr1	215000	0.476310556	0.467611336	0.130219437
chr1	220000	0.474374998	0.461538462	0.131862649
chr1	225000	0.477280642	0.473684211	0.130686014
chr1	230000	0.483001193	0.476190476	0.130716581
chr1	235000	0.481265594	0.476190476	0.13205502
chr1	240000	0.479893451	0.476190476	0.134052019
chr1	245000	0.476206058	0.473684211	0.129610987
chr1	250000	0.474206864	0.473684211	0.129608618
chr1	255000	0.471913284	0.473684211	0.128483517
chr1	260000	0.465551013	0.45	0.126927636
chr1	265000	0.461844574	0.45	0.125769675
chr1	270000	0.462104315	0.45	0.125910084
chr1	275000	0.460480938	0.45	0.125140062
chr1	280000	0.462371369	0.45	0.124821802
chr1	285000	0.463396862	0.45	0.125219508
chr1	290000	0.462935741	0.45	0.124298869
chr1	295000	0.463114271	0.45	0.124509385
chr1	300000	0.462784304	0.45	0.124367719
chr1	305000	0.461499674	0.45	0.134629803
chr1	310000	0.460250724	0.452272727	0.131991724
chr1	315000	0.46021025	0.45	0.131481381
chr1	320000	0.462362911	0.454545455	0.131785613
chr1	325000	0.463010256	0.454545455	0.131407917
chr1	330000	0.469738409	0.473684211	0.133615547
chr1	335000	0.474311451	0.473684211	0.133246482
chr1	340000	0.476592479	0.476190476	0.133384529
chr1	345000	0.475907409	0.476190476	0.133575837
chr1	350000	0.475078664	0.473684211	0.133518124
chr1	355000	0.478041818	0.476190476	0.137963159
chr1	360000	0.474540166	0.474937343	0.140175758
chr1	365000	0.471973127	0.473684211	0.140464769
chr1	370000	0.476036985	0.476190476	0.140518167
chr1	375000	0.474202219	0.476190476	0.141127428
chr1	380000	0.474258811	0.476190476	0.141014015
chr1	385000	0.476141842	0.476190476	0.140096809
chr1	390000	0.474753685	0.473684211	0.140724048
